UN,Data da Verificação,Hidrômetro No,Ano de Inst.,Qn,Qt ,Qmín,Status,REP P/N
MTL,06/06/19,A18N447861,12/03/19,"0,2",1,1,AP,
MTL,06/06/19,A18N447100,08/03/19,"0,62","0,6",0,AP,
BME,06/06/19,A18N230347,17/10/18,"0,8",1,1,AP,
BME,06/06/19,A12F371168,10/10/13,2,"1,6",9,AP,
BME,06/06/19,A16F050524,04/11/16,"0,1",0,19,RP1,N
MTS,06/06/19,A10F492419,06/04/11,"0,04",3,45,RP1,N
MTS,06/06/19,A14F084063,02/06/14,"2,24",0,8,AP,
MTS,06/06/19,A18N456493,18/03/19,"0,9",1,1,AP,
MTS,06/06/19,A18N455583,12/02/19,"0,04",1,0,AP,
MTS,06/06/19,A09F164132,21/07/09,"0,8",12,17,RP2,N
MTS,06/06/19,A01S004867,24/09/08,"1,84",23,"28,6",RP2,N
MTS,06/06/19,A18N107717,27/04/18,"0,5","2,2","10,8",RP1,N
MTS,06/06/19,A03S450548,10/09/10,"3,5","89,6","89,6",RP2,P
MTS,06/06/19,A18N457037,14/03/19,"0,46",1,0,AP,
MTS,06/06/19,A11F224728,07/01/12,"0,16","1,6",24,RP1,N
MTL,06/06/19,A18N210125,06/09/18,"0,4","0,6",9,AP,
MTS,06/06/19,A15F079811,27/04/15,"1,7","1,4","56,2",RP1,N
MTS,06/06/19,A18N147005,11/06/18,"0,26","0,4","0,4",AP,
MTO,07/06/19,A18N452556,07/01/19,"0,72",0,"0,6",AP,
MTO,07/06/19,A18N382618,21/12/18,"0,5",0,1,AP,
BCL,07/06/19,A10F055166,22/05/10,"0,48","0,2","9,6",AP,
MTO,07/06/19,A15F137364,25/06/15,"3,84",2,"33,4",RP1,N
MTO,07/06/19,A05F075382,11/07/11,"0,7",1,"21,5",RP1,N
MTO,07/06/19,A11N320337,21/09/11,0,"0,5",6,AP,
MTO,07/06/19,A10F487029,29/11/10,"0,42","2,2","97,8",RP1,N
MTO,07/06/19,A18N053600,16/04/18,"0,38","0,2","4,8",AP,
MTO,07/06/19,A18N053168,11/05/18,3,"0,6","0,2",AP,
MTO,07/06/19,A12F034418,25/04/12,"1,54",4,27,RP1,N
MTS,07/06/19,A15F239362,11/03/16,"0,14","1,4",19,RP1,N
MTS,07/06/19,A13L266021,17/11/14,"0,46",0,0,AP,
MTS,07/06/19,A11F186492,20/12/11,"1,3",0,"67,2",RP1,N
MTS,07/06/19,A19N074405,09/04/19,"0,66","1,6",0,AP,
MTS,07/06/19,A17N308822,03/04/18,0,2,2,AP,
MTS,07/06/19,A05F064080,30/03/16,"1,3","3,4",50,RP1,N
MTS,07/06/19,A15F043125,10/03/15,"1,98","30,8",26,RP2,N
MTS,07/06/19,A05L139825,06/05/13,"1,3",2,2,AP,
MTS,07/06/19,A08F216718,07/05/13,"1,46","1,4",43,RP1,N
MTN,07/06/19,A19N059461,11/03/19,"0,06","0,4","0,4",AP,
MTN,07/06/19,A19N058361,21/03/19,"0,36","0,4","0,4",AP,
MTN,07/06/19,A09F289688,02/05/18,"1,44","0,6","9,4",AP,
MTN,07/06/19,A08F057488,30/04/17,"1,76","0,4",14,RP1,N
MTN,07/06/19,A04S039687,04/12/10,"2,64","3,6",9,AP,
MTO,07/06/19,A08F402132,21/08/08,"1,06",1,"23,6",RP1,N
MTO,07/06/19,A18N291943,07/12/18,"0,7","0,6",2,AP,
MTO,07/06/19,A10F548933,29/04/11,"3,36","1,4","11,2",RP1,N
MTO,07/06/19,A18N382315,04/01/19,"0,02","0,2",0,AP,
MTO,07/06/19,A14F006671,24/02/14,"1,86","4,6","98,6",RP1,N
MTO,07/06/19,A06F431300,06/03/09,"3,1","1,2","23,4",RP1,N
MTO,07/06/19,A13F268573,28/01/14,"2,8",1,"5,6",AP,
MTO,07/06/19,A08F408598,07/08/08,"6,8","11,2","99,8",RP2,N
MTO,07/06/19,A10F555673,02/03/11,"2,76",5,"24,4",RP1,N
MTN,08/06/19,A14F442553,24/03/15,"0,16","1,4",61,RP1,N
MTN,08/06/19,A16F259533,19/01/17,"0,96","1,2",14,RP1,N
MTN,08/06/19,A02S081306,28/01/11,"0,64","1,2","6,8",AP,
MTN,08/06/19,A17F004421,20/02/17,"0,6","0,6","4,4",AP,
MTN,08/06/19,A18N440537,26/01/19,"0,68",1,"1,2",AP,
MTN,08/06/19,A06F359753,28/07/11,"1,62",3,"19,6",RP1,N
MTN,08/06/19,A19N108860,18/04/19,"1,74","0,6","1,8",AP,
MTL,08/06/19,A12F375561,18/09/13,"1,16","4,8","55,4",RP1,N
MTL,08/06/19,A15F245686,26/10/15,"0,18","1,6","6,6",AP,
MTL,08/06/19,A18N208859,13/09/18,"0,96","1,2","0,6",AP,
MTL,08/06/19,A13F265698,27/03/14,"0,02","0,6",8,AP,
MTL,08/06/19,A19N079863,21/03/19,"1,28","0,4","0,6",AP,
MTL,08/06/19,A15F019726,23/02/15,"1,58","1,4","16,4",RP1,N
MTL,08/06/19,A18N448119,19/02/19,"0,04","0,2","0,6",AP,
MTL,08/06/19,A19N110402,26/04/19,"0,26",0,2,AP,
MTL,08/06/19,A16F261736,26/01/17,"0,66","2,8","37,6",RP1,N
MTL,08/06/19,A18N376931,25/01/19,"1,4","0,4",1,AP,
MTL,08/06/19,A12F188152,31/07/17,,,,RP1,N
MTL,08/06/19,A05F117377,14/04/16,"0,56","0,4","11,4",RP1,N
MTL,08/06/19,A14F114182,07/07/14,"1,58",1,"7,2",AP,
MTS,08/06/19,A18N233423,24/01/19,"0,6","0,4",1,AP,
MTS,08/06/19,A18N196686,13/12/18,"0,66","0,6","0,6",AP,
MTS,08/06/19,A19N103050,03/05/19,"0,46","0,4",2,AP,
MTS,08/06/19,A06F302756,25/06/13,"5,8",3,19,RP1,N
MTS,08/06/19,A08F475376,26/06/18,"0,2",1,"31,4",RP1,N
MTS,08/06/19,A05L076073,20/06/13,"2,8","1,6","1,4",AP,
MTL,08/06/19,A12F348186,20/12/16,"0,34","0,6",19,RP1,N
MTL,08/06/19,A09F026611,08/12/14,"2,4","2,6","79,4",RP1,N
MTS,08/06/19,A18N233258,12/12/18,"1,56",0,0,AP,
MTS,08/06/19,A18N145944,18/07/18,"1,6","0,6","0,2",AP,
MTS,08/06/19,A18N454352,09/03/19,"0,06",1,1,AP,
MTO,08/06/19,A07S301498,15/01/11,"0,6",1,6,AP,
MTO,08/06/19,A14F442166,23/03/15,"2,2",1,3,AP,
MTO,08/06/19,A17F026228,05/05/17,,,,RP1,N
MTO,08/06/19,A18N319740,19/10/18,"0,16",0,2,AP,
MTO,08/06/19,A14F006457,20/02/14,"0,9","0,4","4,6",AP,
MTO,08/06/19,A11N321000,23/09/11,"0,4",1,"3,5",AP,
MTO,08/06/19,A09F033080 ,13/04/09,"1,64","0,6","19,8",RP1,N
MTO,08/06/19,A19N076451,10/04/19,"9,64","1,6","3,6",AP,
MTO,08/06/19,A13F201585,12/11/13,"0,9",1,6,AP,
MTO,08/06/19,A15F255858,22/02/16,"0,64","1,4","25,6",RP1,N
MTS,10/06/19,D15L000986,11/10/18,"0,42",1,"3,2",AP,
MTL,10/06/19,E08S003628,10/08/17,"0,04","1,2",1,AP,
MTL,10/06/19,C04S003871,25/03/10,"0,95","3,5",5,AP,
MTL,10/06/19,A10F041418,12/04/16,"0,6","2,2","9,8",AP,
MTL,10/06/19,A08F224190,21/11/18,"0,24","0,4","5,6",AP,
MTL,10/06/19,A13F198589,27/12/13,"1,36",1,"8,4",AP,
MTL,10/06/19,A18N308999,11/12/18,"0,16",0,0,AP,
MTN,10/06/19,A17N284711,16/04/18,"0,2","0,6",2,AP,
MTN,10/06/19,A18N052075,09/08/18,"0,34","0,6",3,AP,
MTN,10/06/19,A03S355605,18/06/19,"0,62","3,4","11,4",RP1,N
MTN,10/06/19,A18N185011,04/07/18,"0,34",2,5,AP,
MTN,10/06/19,A07S203990,18/06/19,"0,5","17,6","17,8",RP2,N
MTN,10/06/19,A15F020654,18/06/19,"0,6",4,"97,4",RP1,N
MTN,10/06/19,A11F310688,20/04/12,"1,6",9,100,RP2,N
MTN,10/06/19,A11F287906,10/06/19,,,,RP1,N
MTL,10/06/19,A16F198230,13/10/16,"0,54",1,20,RP1,N
MTL,10/06/19,A17F064499,18/06/19,"0,46",2,36,RP1,N
MTL,10/06/19,A18N020466,08/03/18,"0,74","1,6",3,AP,
MTL,10/06/19,A19N197539,22/05/19,"1,3",1,2,AP,
MTL,10/06/19,A17F072531,30/09/17,"0,7",0,3,AP,
MTL,10/06/19,A13F228048,10/06/19,,,,RP1,N
MTL,10/06/19,A12F365841,27/08/13,"0,02","0,4","10,6",RP1,N
MTL,10/06/19,A15F159485,18/09/19,"1,26",1,"20,6",RP1,N
MTO,10/06/19,A08F487972,12/11/08,"1,26","0,8","4,6",AP,
MTO,10/06/19,A18N023612,04/05/18,"1,04",2,"3,6",AP,
MTO,10/06/19,A17N287226,24/01/18,"0,54","1,6","2,6",AP,
MTO,10/06/19,A18N319969,24/10/18,"2,66",2,1,AP,
MTO,10/06/19,A06F311599,24/06/19,"0,74",1,"26,6",RP1,N
MTO,10/06/19,A18N141092,13/11/18,1,0,0,AP,
MTS,10/06/19,A08F500546,14/06/19,"0,3",0,14,RP1,N
MTS,10/06/19,A14F289135,18/08/14,"3,26","4,4",25,RP1,N
MTS,10/06/19,A17N281468,20/02/18,"1,6",3,9,AP,
MTS,10/06/19,A14F414310,27/12/14,1,"2,4","42,6",RP1,N
MTS,10/06/19,A13F242555,13/06/19,"2,6",2,22,RP1,N
MTL,11/06/19,C03S000870,05/04/19,"1,08","1,8","5,2",AP,
MTS,11/06/19,B17S015318,04/10/18,"1,24",1,2,AP,
MTS,11/06/19,A15F061026,24/06/19,,,,RP1,N
BME,11/06/19,A07F309325,14/06/19,,,,RP1,N
MTN,11/06/19,A02S689104,25/09/10,"0,1",0,"4,2",AP,
MTN,11/06/19,A07F306537,23/12/08,"5,9","4,4",99,RP1,N
MTN,11/06/19,A15F162242,29/10/15,"2,64","2,4",59,RP1,N
MTN,11/06/19,A19N060162,29/03/19,"0,9",1,1,AP,
MTN,11/06/19,A12F105573,04/12/14,"1,8","1,6","12,6",RP1,N
MTN,11/06/19,A19N058896,20/03/19,"1,78","0,8","0,2",AP,
MTN,11/06/19,A14F460229,26/01/15,"0,16","0,6","17,4",RP1,N
BME,11/06/19,A10F089029,14/03/19,"0,26","0,2","4,4",AP,
MTN,11/06/19,A19N058877,09/03/19,"0,64","0,2","1,8",AP,
MTS,11/06/19,A18N058341,01/06/18,"0,3","0,4","2,2",AP,
MTS,11/06/19,A18N456766,11/02/19,"0,66","0,4","1,6",AP,
MTS,11/06/19,A19N103818,16/04/19,"0,54","0,6",3,AP,
MTS,11/06/19,A14L127323,01/07/15,"1,04","1,4","0,4",AP,
BPA,11/06/19,A15F145518,26/03/16,"3,5","0,4",4,AP,
BME,11/06/19,A18N063298,24/05/18,"0,54","0,2",2,AP,
BME,11/06/19,A17F015334,16/05/17,"0,2","0,6","24,4",RP1,N
BME,11/06/19,A11N237905,17/11/11,"2,8",1,"4,5",AP,
BME,11/06/19,A09F004033,27/04/09,"16,4",19,65,RP3,P
BME,11/06/19,A10F166751,05/08/10,"3,64","2,6","18,4",RP1,N
MTL,11/06/19,A07F294146,10/04/17,"1,04","0,4","27,4",RP1,N
MTL,11/06/19,A11F224561,23/04/13,"0,46","0,4",100,RP1,N
MTL,11/06/19,A09F188970,20/08/09,"0,5",0,22,RP1,N
MTL,11/06/19,A09F286152,08/11/14,"0,16","0,8","7,6",AP,
MTL,11/06/19,A18N447418,14/03/19,1,"0,6","1,6",AP,
MTL,11/06/19,A18N090369,14/06/18,"0,3",0,1,AP,
MTL,11/06/19,A19N125837,13/05/19,1,1,"0,6",AP,
MTL,11/06/19,A14F284097,20/08/14,"2,2",1,"1,4",AP,
MTL,11/06/19,A07F311081,27/03/17,"0,74","0,2","23,4",RP1,N
MTL,11/06/19,A18N209036,28/09/18,"1,1",0,5,AP,
MTL,11/06/19,A16F259694,12/01/17,"0,6",0,"8,6",AP,
MTL,11/06/19,A14F000893,18/02/14,"2,34",5,100,RP1,N
MTN,11/06/19,A09F240465,11/11/09,"0,54",0,"6,6",AP,
MTN,11/06/19,A18N290358,16/10/18,"1,14",1,1,AP,
MTN,11/06/19,A18N139959,21/06/18,"0,06",0,4,AP,
MTO,11/06/19,A00S608528,30/04/09,"1,56","7,4",12,RP2,N
MTO,11/06/19,A18N453461,11/03/19,"0,86","1,8",1,AP,
MTO,11/06/19,A08F216668,09/12/16,"1,24",1,9,AP,
BME,11/06/19,A03S026472,15/01/09,"4,54","5,2","11,4",RP2,N
BME,11/06/19,A09N503006,19/01/10,"1,05","0,5",7,AP,
MTL,12/06/19,D15L000942,18/01/19,"1,54","3,2","2,4",AP,
MTO,12/06/19,A10F212234,31/03/11,"0,8","1,2","3,6",AP,
MTS,12/06/19,A17N307475,15/02/18,"0,72","0,2",8,AP,
MTS,12/06/19,A16F146583,04/11/16,"0,16","0,4","7,6",AP,
MTS,12/06/19,A18N444516,07/01/19,"0,8","1,2","0,4",AP,
MTS,12/06/19,A18N232129,08/12/18,"0,68","1,6","3,6",AP,
MTS,12/06/19,A11N304073,10/11/11,"0,35",0,"4,5",AP,
MTO,12/06/19,A17N286928,23/01/18,"0,06",1,"5,6",AP,
BME,12/06/19,A17F099886,01/02/18,"3,96",5,"5,2",AP,
BME,12/06/19,A15F205637,14/06/19,"1,62","0,4","35,6",RP1,N
BME,12/06/19,A02S132784,10/12/08,"0,24","0,4","1,4",AP,
MTN,12/06/19,A10F252487,13/12/10,"0,1","1,6",36,RP1,N
MTN,12/06/19,A09F283566,06/06/13,"0,52","0,4","0,4",AP,
MTN,12/06/19,A15F205936,20/01/16,,,,RP1,N
MTN,12/06/19,A10F040745,10/03/14,"0,76","1,8","25,6",RP1,N
MTN,12/06/19,A18N289861,24/10/18,"0,08","0,4","0,8",AP,
MTN,12/06/19,A16F258144,13/02/17,"0,26",1,10,AP,
MTL,12/06/19,A19N125783,09/05/19,"0,5",1,"1,4",AP,
MTL,12/06/19,A12F350551,01/08/13,"0,5",1,"4,6",AP,
MTL,12/06/19,A17N300777,26/01/18,"0,28","1,4",1,AP,
MTL,12/06/19,A17F072825,23/11/17,"1,24","1,6",3,AP,
MTL,12/06/19,A10F253339,30/12/10,,,,RP1,N
MTL,12/06/19,A07F314654,26/05/17,"0,2","0,6","31,4",RP1,N
MTL,12/06/19,A10F173314,14/08/10,"2,84","2,6",21,RP1,N
MTO,12/06/19,A09F115939,14/12/11,"1,8",0,"32,4",RP1,N
MTO,12/06/19,A17N306227,15/03/18,"0,3",1,"0,4",AP,
MTO,12/06/19,A14F241710,02/08/14,"0,84",0,14,RP1,N
MTO,12/06/19,A17F070425,09/11/17,"0,7","1,4",6,AP,
MTO,12/06/19,A17N285967,02/02/18,"0,24","0,6",2,AP,
BSI,12/06/19,A07F270983,18/08/07,"0,44","13,6","99,8",RP2,N
BME,12/06/19,A07F302816,24/04/08,"5,9",5,100,RP2,N
MTS,12/06/19,A16F277663,18/04/17,"1,04","0,6","20,8",RP1,N
MTS,12/06/19,A18N324404,22/10/18,"0,1",1,3,AP,
MTS,12/06/19,A19N072195,17/04/19,"0,84",2,"1,4",AP,
MTS,12/06/19,A18N232262,12/12/18,"0,76","2,2","1,8",AP,
MTS,12/06/19,A18N145358,20/06/18,"0,14",3,"4,6",AP,
MTS,12/06/19,A17F092856,11/12/17,"1,7",1,1,AP,
MTS,12/06/19,A08F455272,22/10/08,"1,74",3,16,RP1,N
MTS,12/06/19,A18N058077,18/05/18,"0,64",0,0,AP,
BME,12/06/19,A02S408331,21/06/11,"0,14","0,6","0,8",AP,
BME,12/06/19,A08F470637,15/12/08,"1,6","1,6",10,AP,
MTO,13/06/19,A06F368697,22/12/16,"1,02","2,4",24,RP1,N
MTO,13/06/19,A19N057110,23/03/19,"0,16",1,"0,2",AP,
MTO,13/06/19,A19N055905,23/03/19,"1,18",1,"1,4",AP,
MTO,13/06/19,A14F207190,16/09/14,"0,52","0,8",16,RP1,N
MTO,13/06/19,A04S161496,31/07/08,"1,7",1,"9,8",AP,
MTO,13/06/19,A05F064241,02/03/07,"1,96","4,6",100,RP1,N
MTO,13/06/19,A05L082390,27/03/13,"0,86",1,"5,6",AP,
MTO,13/06/19,A07F313833,12/06/17,"1,82","2,8","6,8",AP,
MTO,13/06/19,A18N055705,26/03/18,"1,02","3,2","15,8",RP1,N
MTO,13/06/19,A12F354007,03/04/13,"0,1","3,6",13,RP1,N
MTO,13/06/19,A18N187533,06/11/18,"0,58","0,4",1,AP,
MTS,13/06/19,A19N072985,30/03/19,"0,06",1,1,AP,
MTS,13/06/19,A07S040801,06/04/18,"1,38","1,2","3,6",AP,
MTO,13/06/19,A18N055321,01/06/18,"0,3","0,6",0,AP,
MTO,13/06/19,A11F291505,29/05/12,"0,96",5,28,RP1,N
BME,13/06/19,A12F241153,23/01/13,"36,06","43,4","23,4",RP3,P
BME,13/06/19,A07F206706,05/10/07,2,2,100,RP1,N
BME,13/06/19,A13F249191,02/07/14,"19,36",22,"3,6",RP2,P
BME,13/06/19,A09F322182,30/03/10,9,"11,4",13,RP3,P
BME,13/06/19,A15F143958,05/08/15,"19,74","24,4","10,6",RP3,P
BME,13/06/19,A12F335525,03/05/12,,,,RP1,N
MTO,13/06/19,A18N054876,22/05/18,"0,6",1,0,AP,
MTO,13/06/19,A18N092508,23/06/18,"0,2",3,3,AP,
MTO,13/06/19,A09F189359,31/08/09,"3,86","0,6","5,6",AP,
MTO,13/06/19,A18N054046,27/04/18,"0,54","1,6",4,AP,
MTO,13/06/19,A14F306309,26/09/14,"0,06",5,6,AP,
MTO,13/06/19,A08F231233,04/04/16,1,"0,6","40,4",RP1,N
MTO,13/06/19,A06S748467,03/08/11,"0,04",4,"6,6",AP,
MTO,13/06/19,A18N187240,17/10/18,"0,2",3,3,AP,
MTS,13/06/19,A18N057751,16/06/18,0,1,"6,6",AP,
MTS,13/06/19,A18N229218,22/08/18,"0,64","2,8","5,8",AP,
MTS,13/06/19,A18N454148,14/03/19,"0,2","3,6","0,4",AP,
MTS,13/06/19,A96L539965,18/12/08,"0,1",5,21,RP1,N
MTS,13/06/19,A17F093617,13/11/17,"2,1",6,"8,6",RP1,P
MTS,13/06/19,A18N233481,15/12/18,"0,8","1,4","1,4",AP,
MTN,13/06/19,A03S316876,11/08/10,"0,9","0,6","14,8",RP1,N
MTN,13/06/19,A04S124122,13/06/11,"0,2",2,"0,4",AP,
MTN,13/06/19,A10F169162,02/10/15,"1,46",1,"7,4",AP,
MTN,13/06/19,A16F123578,23/08/16,"1,56",2,"12,4",RP1,N
MTN,13/06/19,A08F475373,14/05/17,"1,04","3,6","47,6",RP1,N
MTN,13/06/19,A07S137647,08/05/14,,,,RP1,N
MTL,14/06/19,A04L544569,04/10/16,"0,7",1,"1,4",AP,
MTL,14/06/19,A18N102137,06/06/18,"0,44","0,6","0,6",AP,
MTL,14/06/19,A15F107973,23/04/15,"0,44",0,"17,6",RP1,N
MTN,14/06/19,A17F111514,27/11/17,"0,86",1,"12,2",RP1,N
MTN,14/06/19,A10F560072,02/10/13,"4,7","2,8","18,2",RP1,N
MTN,14/06/19,A18N289088,19/10/18,"4,7",6,7,RP1,P
MTN,14/06/19,A16F199679,31/10/16,"1,38","0,6",13,RP1,N
MTN,14/06/19,A08F234643,21/06/16,"1,34",0,"13,6",RP1,N
MTN,14/06/19,A18N050640,10/05/18,"0,04","1,4","3,4",AP,
MTN,14/06/19,A18N050735,10/05/18,"0,62","0,2","5,4",AP,
MTL,14/06/19,A17F063727,06/10/17,"0,04",0,"22,4",RP1,N
MTL,14/06/19,A11F037807,19/12/14,"3,52","2,4",22,RP1,N
MTL,14/06/19,A18N049019,30/04/18,"1,26",0,0,AP,
MTL,14/06/19,A14F376276,27/10/14,"0,64","0,6",65,RP1,N
MTL,14/06/19,A18N439046,16/01/19,"1,54","0,4",1,AP,
MTL,14/06/19,A14F115756,27/06/14,"1,2",1,2,AP,
MTS,14/06/19,A17N168118,01/02/18,"1,86",2,"1,8",AP,
MTS,14/06/19,A12F237509,16/01/13,"0,7","1,6",14,RP1,N
MTS,14/06/19,A18N196795,15/12/18,"1,46",1,"0,6",AP,
MTS,14/06/19,A11F222989,16/02/12,"1,16","1,4",33,RP1,N
MTS,14/06/19,A18F034001,18/02/19,"1,84","0,6","2,6",AP,
MTS,14/06/19,A14F377181,28/10/14,"2,1","2,4","64,6",RP1,N
MTS,14/06/19,A10F131854,17/06/13,"7,5",3,25,RP2,N
MTO,15/06/19,A07S091493,16/07/14,"2,3","2,4","7,2",AP,
BME,15/06/19,A19N070509,24/05/19,"0,94","0,4",2,AP,
MTO,15/06/19,A15F050429,05/06/18,"0,4",1,22,RP1,N
MTO,15/06/19,A10F005041,28/01/10,"3,54","3,4","33,2",RP1,N
MTO,15/06/19,A05L369558,08/05/13,"1,4",2,1,AP,
MTS,15/06/19,A18N229416,17/08/18,"0,7",1,17,RP1,N
MTL,15/06/19,A07F272527,30/06/17,"0,9","3,6","10,8",RP1,N
MTL,15/06/19,A17N314003,28/02/18,"0,1",3,99,RP1,N
MTL,15/06/19,A11N329113,11/01/13,"1,06","0,4","2,6",AP,
MTS,15/06/19,A10F051199,22/05/19,"2,68","3,4","15,6",RP1,N
MTS,15/06/19,A04S349451,18/03/13,"0,16","0,4",20,RP1,N
MTS,15/06/19,A14F245493,07/08/14,"0,16","0,6","6,4",AP,
MTN,15/06/19,A04S120926,08/01/13,,,,RP1,N
MTN,15/06/19,A13F145429,20/01/15,"0,9",1,"15,4",RP1,N
MTN,15/06/19,A19N064384,07/05/19,"0,04","0,8","0,8",AP,
MTN,15/06/19,A17N303569,21/03/18,"0,46","1,6","2,4",AP,
MTN,15/06/19,A19N109100,26/04/19,"0,66","0,4",1,AP,
MTN,15/06/19,A05L139536,23/04/13,"1,8","0,4","0,4",AP,
MTN,15/06/19,A18N290334,22/11/18,"0,94","1,2","1,8",AP,
MTO,15/06/19,A18N054537,29/05/18,"0,3","0,2","1,2",AP,
MTO,15/06/19,A18N185827,29/11/18,"0,76","1,2","1,8",AP,
MTO,15/06/19,A18N187004,29/11/18,"0,54","0,8",2,AP,
MTO,15/06/19,A17F026397,04/05/17,"0,54","0,4","5,8",AP,
MTO,15/06/19,A17N305261,08/03/18,"0,76","1,6","7,2",AP,
MTO,15/06/19,A18N452506,13/03/19,"0,98","0,2","0,8",AP,
MTN,15/06/19,A06F332228,29/12/16,"0,7","1,4","95,2",RP1,N
MTO,15/06/19,A11F288811,18/02/12,"0,62","0,4","30,6",RP1,N
MTN,15/06/19,A09F172848,24/05/16,"0,72","1,2","31,4",RP1,N
MTN,15/06/19,A18N050959,05/04/18,"0,58","0,8",2,AP,
MTN,15/06/19,A16F200041,27/10/16,,,,RP1,N
MTN,15/06/19,A12F359478,10/07/17,,,,RP1,N
MTN,17/06/19,A12F141523,12/04/13,"0,46","0,4","16,2",RP1,N
MTN,17/06/19,A12F033467,13/03/13,"2,12","0,4",1,AP,
MTN,17/06/19,A19N060290,09/04/19,"1,16","0,8","0,8",AP,
MTN,17/06/19,A16F056989,26/07/16,"0,42",,"7,4",AP,
MTN,17/06/19,A08F479262,13/12/17,"1,62","0,6","9,8",AP,
MTS,17/06/19,A18N232924,15/12/18,"0,04",1,2,AP,
MTS,17/06/19,A18N384803,22/12/18,"1,36","0,4","0,2",AP,
MTS,17/06/19,A13F145211,20/10/13,"0,52","0,6","16,8",RP1,N
MTS,17/06/19,A11N253567,23/09/11,,,,RP1,N
MTN,17/06/19,A17F065530,21/09/17,"2,66",,"10,4",RP1,N
MTS,17/06/19,A12F370697,08/07/13,"0,5",1,"13,4",RP1,N
MTS,17/06/19,A12F370301,08/07/13,"1,6","0,6","2,6",AP,
MTS,17/06/19,A15F247294,23/09/15,"1,74","0,6",32,RP1,N
MTS,17/06/19,A10F204788,29/09/10,"0,34","0,4","14,6",RP1,N
MTS,17/06/19,A19N104354,15/04/19,"0,26",1,2,AP,
MTO,17/06/19,A15F125021,12/06/15,"1,5","0,4","3,6",AP,
MTS,17/06/19,A18N293416,13/11/18,"2,16","1,4","1,6",AP,
MTL,17/06/19,A13F261753,18/01/14,"0,36","0,4","29,6",RP1,N
MTL,17/06/19,A09F321800,08/01/10,"0,04","0,6",3,AP,
MTL,17/06/19,A07S036093,27/02/07,"6,14","28,6",100,RP3,N
MTL,17/06/19,A18N437595,27/02/19,"0,1","0,6",1,AP,
MTL,17/06/19,A14F075656,11/11/14,"1,1","2,4",14,RP1,N
MTL,17/06/19,A09F209174,28/10/09,"0,38",2,"33,6",RP1,N
MTL,17/06/19,A09F172943,18/09/09,"2,14",2,"28,6",RP1,N
MTL,17/06/19,A18N089489,10/05/18,"0,1","0,6","2,4",AP,
MTN,17/06/19,A14F116700,26/09/14,"1,4",0,"3,6",AP,
MTO,17/06/19,A14F007329,11/03/14,"0,24",0,92,RP1,N
MTN,17/06/19,A06S754228,05/07/10,"1,94","4,2","17,4",RP1,N
MTL,17/06/19,A18N137700,03/08/18,"0,4",1,"8,6",AP,
MTO,17/06/19,A12F270925,18/12/12,"3,16",1,5,AP,
MTL,17/06/19,A17F063734,03/10/17,,,,RP1,N
MTO,17/06/19,A13F219647,30/11/13,"2,2","2,6",17,RP1,N
MTL,18/06/19,F08S003043,29/10/15,,,,RP1,N
MTL,18/06/19,D14L004964,11/11/17,"0,44",6,"4,4",AP,
MTS,18/06/19,A12F354590,26/04/13,"0,24",1,"4,6",AP,
MTS,18/06/19,A14F012311,31/03/14,,,,RP1,N
MTS,18/06/19,A14F401300,13/11/14,"1,3",1,"55,4",RP1,N
MTS,18/06/19,A09F173079,07/08/09,"1,06",4,"79,4",RP1,N
MTS,18/06/19,A14F120189,05/06/14,"0,26",0,"3,6",AP,
MTN,18/06/19,A05L145620,02/10/13,"2,8","2,4","0,6",AP,
BME,18/06/19,A16F127011,04/11/16,"0,46",1,17,RP1,N
BME,18/06/19,A11F238056,27/04/12,,,,RP1,N
MTL,18/06/19,A05F064257,06/04/16,"0,8",1,"30,4",RP1,N
MTL,18/06/19,A14F304711,23/09/14,"2,74",0,"44,6",RP1,N
MTL,18/06/19,A07F319455,10/03/15,"0,9","0,4","46,6",RP1,N
MTO,18/06/19,A17F026858,24/05/17,"1,9","0,4","7,4",AP,
MTO,18/06/19,A15F165298,16/07/15,"0,84",1,35,RP1,N
MTO,18/06/19,A11N236660,12/01/12,"4,6",6,1,RP1,P
MTS,18/06/19,A18N025034,09/05/18,"1,44","1,6",0,AP,
MTS,18/06/19,A08F295324,03/05/14,"1,24",1,"12,6",RP1,N
MTS,18/06/19,A19N050955,14/02/19,"0,66",2,3,AP,
MTS,18/06/19,A08F417299,29/09/08,"2,86","0,6",14,RP1,N
MTL,19/06/19,E16S004929,23/01/19,"2,24","0,4",3,AP,
MTN,19/06/19,D12L002345,11/11/15,"2,48","1,4","0,4",AP,
MTL,19/06/19,A16F261655,02/02/17,"0,94",1,23,RP1,N
MTL,19/06/19,A17F022392,20/04/17,"5,9","6,2","8,4",AP,
MTL,19/06/19,A19N079983,01/04/19,"2,64","2,8","4,8",AP,
MTL,19/06/19,A18N181789,16/08/18,"0,12",2,"24,8",RP1,N
MTL,19/06/19,A14F440462,19/01/15,"0,12","0,4",46,RP1,N
MTL,19/06/19,A18N090824,14/06/18,"1,24","0,8","1,8",AP,
MTL,19/06/19,A17F064559,21/08/17,"1,04","1,2","2,8",AP,
MTL,19/06/19,A18N308290,12/11/18,"0,32","1,4","1,6",AP,
MTL,19/06/19,A18N209115,27/09/18,"0,5","1,4","4,8",AP,
