,CVProcessado,vidaInstalacao,vidaHidrometro,hid_imo_qtd_pontos_utilizacao,QtdMedicoes,QtdOcorrencias,qtd_instalacao,variacaoTendencia,bhc_dsc_status,IDHidrometro
6377,0.3903123748998999,0.0,0.0,5.0,4.0,0.0,1.0,0.0,1,A18N182115
6379,0.7617381955830497,0.0,0.0,13.0,6.0,0.0,1.0,0.3495575221238938,1,A18N049865
6380,0.522030925345411,3.0,3.0,8.0,25.0,0.0,1.0,0.8444444444444446,0,A15F197358
6381,0.493972776531595,1.0,1.0,22.0,19.0,0.0,1.0,-0.15827338129496404,0,A17F000269
6384,0.1264285974408077,1.0,1.0,12.0,19.0,0.0,1.0,0.21848739495798308,0,A17F000352
6385,0.06314286363631368,1.0,1.0,19.0,10.0,0.0,1.0,0.18018018018018012,1,A17F067280
6388,0.49582079857525413,0.0,0.0,5.0,4.0,0.0,1.0,0.0,1,A18N106992
6389,0.6697353441803658,2.0,10.0,6.0,25.0,4.0,2.0,1.0909090909090908,1,A08F468616
6390,0.9885101763722667,3.0,3.0,56.0,25.0,0.0,1.0,1.640893470790378,1,E15L001228
6391,0.6124895520011873,7.0,8.0,9.0,25.0,3.0,1.0,0.9125000000000001,0,A10F255933
6392,0.1496662954709577,0.0,1.0,12.0,8.0,2.0,1.0,0.27464788732394374,1,A17N300413
6393,0.578136063122493,0.0,0.0,6.0,8.0,0.0,1.0,0.20833333333333326,1,A18N019523
6394,0.3250959276596197,6.0,6.0,5.0,25.0,0.0,1.0,0.381578947368421,1,A12F031994
6395,0.1589885230339571,5.0,6.0,11.0,24.0,0.0,2.0,0.1901408450704225,0,A12F152564
6396,0.7509695403680627,1.0,12.0,9.0,21.0,12.0,2.0,0.6086956521739131,0,A06F339416
6398,0.4518541942250648,1.0,12.0,6.0,22.0,6.0,2.0,0.6511627906976745,0,A06F269639
6399,0.35363910145187627,1.0,10.0,1.0,20.0,0.0,2.0,2.6944444444444446,1,A08F225953
6400,0.35363910145187627,1.0,10.0,4.0,20.0,0.0,2.0,2.6944444444444446,1,A08F225953
6402,0.4359898954683876,6.0,13.0,9.0,25.0,0.0,2.0,1.1015625,0,A05F331452
6404,0.48470166502900774,9.0,10.0,5.0,24.0,0.0,1.0,0.240506329113924,0,A08F495844
6406,0.14939858446499532,9.0,15.0,5.0,25.0,0.0,1.0,0.37142857142857144,1,A03S581503
6408,1.4012015881364448,0.0,1.0,48.0,5.0,1.0,1.0,0.0,1,A17N281075
6412,0.47782869194341776,0.0,0.0,6.0,6.0,0.0,1.0,0.13261648745519716,1,A18N052768
6414,0.11646138839277995,2.0,2.0,11.0,23.0,0.0,2.0,-0.020979020979020935,0,A16F200686
6415,0.4079454086648512,4.0,4.0,9.0,25.0,0.0,1.0,0.6283185840707965,0,A14F077395
6416,0.37170907075828996,4.0,4.0,14.0,25.0,0.0,1.0,0.6590909090909092,0,A14F079763
6417,1.6146864945349386,6.0,7.0,5.0,25.0,0.0,2.0,1.7872340425531914,0,A11F284530
6418,0.10862583488675265,4.0,4.0,11.0,25.0,0.0,1.0,-0.058510638297872286,0,A14F075886
6420,0.2731947746350745,4.0,9.0,3.0,24.0,8.0,2.0,-0.1103448275862069,0,A09F207811
6423,0.30802125074268977,9.0,9.0,7.0,25.0,16.0,1.0,0.5294117647058822,0,A09F007009
6424,0.0565685424949238,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1,A18N214236
6425,0.03142696805273545,0.0,0.0,5.0,3.0,0.0,1.0,0.0,1,A18N212153
6426,0.7123764526586048,2.0,10.0,4.0,25.0,0.0,2.0,1.6829268292682928,1,A08F240507
6427,0.84280058202273,4.0,5.0,4.0,25.0,1.0,1.0,2.25,0,A13F271512
6429,0.6938034729316176,1.0,9.0,3.0,21.0,0.0,2.0,2.1449275362318843,0,A09F279955
6430,0.5611880657382465,6.0,7.0,35.0,25.0,0.0,1.0,-0.11904761904761907,0,A11F172208
