,CVProcessado,vidaInstalacao,vidaHidrometro,hid_imo_qtd_pontos_utilizacao,QtdMedicoes,QtdOcorrencias,qtd_instalacao,variacaoTendencia,bhc_dsc_status,IDHidrometro
22,0.0,1.0,11.0,10.0,6.0,0.0,2.0,0.6666666666666667,0,A06F263457
47,0.0,1.0,11.0,10.0,6.0,0.0,2.0,0.6666666666666667,0,A06F263457
50,0.6995139337123507,8.0,8.0,6.0,25.0,0.0,1.0,-0.09090909090909094,1,A11N318087
52,1.1882916464559687,1.0,1.0,2.0,5.0,1.0,1.0,0.0,1,A18N191050
53,0.8141168793701691,1.0,2.0,5.0,3.0,0.0,1.0,0.0,1,A17S268463
54,1.0353090248962773,8.0,15.0,6.0,25.0,3.0,1.0,2.5789473684210527,1,A04S013449
56,0.14861618755390849,4.0,5.0,3.0,25.0,0.0,1.0,0.04081632653061229,1,A14F247688
57,0.5553408978621532,5.0,5.0,4.0,25.0,0.0,1.0,1.955223880597015,0,A14F376235
58,0.8293703872289939,11.0,17.0,4.0,25.0,10.0,1.0,0.7708333333333333,1,A02L328969
59,0.42969891305069796,3.0,6.0,1.0,25.0,2.0,2.0,0.18947368421052624,0,A13F236020
60,1.6430447269074213,5.0,5.0,7.0,25.0,6.0,1.0,0.6071428571428572,1,A14F202530
62,0.03822198817224581,1.0,1.0,6.0,3.0,0.0,1.0,0.0,1,A18N294482
63,0.9775395800674742,5.0,5.0,4.0,25.0,3.0,1.0,0.6666666666666667,1,A14F413997
64,0.7738706681842268,6.0,7.0,5.0,25.0,0.0,1.0,0.0,1,A12F371069
65,0.23897121557570822,2.0,3.0,6.0,24.0,0.0,1.0,0.3700000000000001,1,A16F241527
66,0.176387984915672,1.0,2.0,1.0,12.0,0.0,1.0,0.5763888888888888,1,A17N278685
67,0.14997116216449366,1.0,1.0,2.0,5.0,1.0,1.0,0.0,1,A18N194027
68,0.28525010902888825,5.0,6.0,5.0,25.0,0.0,1.0,0.5920000000000001,0,A13F242490
69,0.5726786493946786,2.0,3.0,3.0,21.0,0.0,1.0,1.1369863013698631,1,A16F275890
70,0.3339332760991917,6.0,7.0,1.0,25.0,2.0,1.0,1.2465753424657535,0,A12F370910
71,0.6459974597274082,2.0,3.0,5.0,24.0,0.0,1.0,3.012987012987013,0,A16F241520
73,0.990191381397416,5.0,5.0,5.0,25.0,5.0,1.0,1.2765957446808511,0,A14F406741
76,0.3609356118991897,3.0,13.0,6.0,25.0,2.0,2.0,0.1875,1,A06F325280
77,0.9451293687574505,3.0,13.0,6.0,25.0,0.0,2.0,1.8860759493670884,0,A06F314915
78,0.5786052713126303,2.0,3.0,5.0,24.0,1.0,1.0,0.4152542372881356,1,A16F260104
79,0.11574639606607634,3.0,12.0,7.0,25.0,0.0,2.0,0.0,1,A07F330324
80,0.1026119402985074,3.0,3.0,10.0,25.0,0.0,1.0,0.023121387283236983,1,A16F147397
81,0.5153303632441079,3.0,13.0,4.0,25.0,0.0,2.0,1.0804597701149423,0,A06F441090
82,0.28793417171218716,8.0,9.0,6.0,25.0,1.0,1.0,1.0,0,A10F551823
84,0.3879698410385206,1.0,1.0,5.0,6.0,0.0,1.0,0.012820512820512775,1,A18N194319
86,0.537301214617666,3.0,12.0,3.0,25.0,0.0,2.0,1.7400000000000002,0,A07F332861
87,0.1255109280847012,5.0,5.0,5.0,25.0,0.0,1.0,0.2578947368421052,0,A14F414552
88,0.8236679558482795,1.0,1.0,9.0,5.0,1.0,1.0,0.0,1,A18N193779
89,0.150698360387897,6.0,6.0,5.0,25.0,1.0,1.0,0.14685314685314688,0,A13F203744
90,1.4462969886399346,2.0,8.0,5.0,14.0,1.0,2.0,0.0,0,A11F193714
91,1.4462969886399346,2.0,8.0,5.0,14.0,1.0,2.0,0.0,0,A11F193714
93,0.3831109026364503,11.0,11.0,15.0,25.0,7.0,1.0,0.008130081300812941,1,A08F415711
95,0.35484505159271645,3.0,3.0,5.0,25.0,0.0,1.0,0.5909090909090908,0,A16F145951
96,0.5296893542699173,3.0,13.0,3.0,25.0,1.0,2.0,1.3571428571428572,0,A06F316498
100,0.15940240695254848,3.0,3.0,4.0,24.0,3.0,1.0,0.02145922746781115,0,A16F127618
101,0.1667156479549132,8.0,9.0,2.0,24.0,1.0,1.0,0.3233830845771144,0,A10F201835
104,0.45985398286162954,4.0,4.0,5.0,25.0,1.0,1.0,0.22297297297297303,0,A15F018283
105,1.0512953455904344,11.0,11.0,1.0,25.0,0.0,1.0,-0.26436781609195403,0,A08F363517
106,0.653823020683389,3.0,15.0,4.0,25.0,1.0,1.0,0.8983050847457628,1,A04L329150
108,0.24893007034456774,5.0,5.0,3.0,25.0,0.0,1.0,0.3272727272727274,0,A14F203070
109,0.17100860091044762,1.0,1.0,6.0,9.0,0.0,1.0,0.4608695652173913,1,A18N050022
111,0.9779501997570098,1.0,11.0,5.0,18.0,0.0,2.0,1.4545454545454546,0,A08F072758
112,0.9779501997570098,1.0,11.0,5.0,18.0,0.0,2.0,1.4545454545454546,0,A08F072758
113,1.0397193086828391,4.0,4.0,8.0,25.0,0.0,1.0,2.9375,0,A15F209461
116,0.3861910036091408,2.0,11.0,1.0,21.0,1.0,2.0,0.6267605633802817,0,A08F057326
117,0.3151043956244406,1.0,11.0,3.0,15.0,1.0,2.0,0.33333333333333326,0,A08F419735
118,0.3151043956244406,1.0,11.0,1.0,15.0,1.0,2.0,0.33333333333333326,0,A08F419735
119,0.5269622383817195,6.0,7.0,15.0,25.0,0.0,1.0,1.203125,1,A12F372305
120,1.352611154823568,6.0,7.0,18.0,25.0,0.0,1.0,2.8661417322834644,0,A12F372245
121,1.0214960313245638,1.0,2.0,5.0,12.0,0.0,1.0,1.3260869565217392,1,A17F100381
123,0.4583259350728657,10.0,15.0,1.0,25.0,0.0,1.0,0.6043956043956045,0,A04L623853
124,1.6214563464729062,1.0,1.0,12.0,6.0,0.0,1.0,0.5846994535519126,1,A18N149464
125,1.0663089216247383,9.0,9.0,9.0,25.0,2.0,1.0,2.2708333333333335,0,A10F211073
126,0.9274981450055648,11.0,20.0,1.0,25.0,0.0,1.0,-0.1009174311926605,0,A99S441309
127,1.2860596697531275,9.0,9.0,3.0,25.0,1.0,1.0,2.1363636363636362,0,A10F052006
129,0.07752349105127632,3.0,10.0,1079.0,25.0,0.0,2.0,-0.040935672514619936,0,D09S004479
130,0.12417859164714141,2.0,4.0,1109.0,14.0,0.0,1.0,0.10828025477707004,1,E15L003998
131,0.7249208175368383,3.0,13.0,767.0,25.0,0.0,2.0,0.8281845112145578,1,F06L000950
132,0.6166892133669823,6.0,7.0,16.0,25.0,0.0,1.0,-0.3846153846153846,0,A12F218660
133,0.38376535850635324,4.0,4.0,10.0,25.0,0.0,1.0,0.15333333333333332,0,A15F108102
134,0.4622895437796913,1.0,2.0,6.0,11.0,0.0,1.0,0.34615384615384626,1,A17N300907
137,1.3187102086292026,3.0,13.0,6.0,25.0,0.0,2.0,1.870967741935484,1,A06F310314
139,0.22227564263159322,2.0,2.0,7.0,13.0,0.0,1.0,0.4247787610619469,1,A17F109246
140,0.3200199047042024,2.0,2.0,10.0,21.0,0.0,1.0,0.7906976744186047,1,A17F022686
141,0.9796272669329706,5.0,10.0,14.0,25.0,0.0,2.0,0.7547169811320755,0,A09F240749
142,0.3019501459812081,1.0,1.0,23.0,10.0,0.0,1.0,0.030612244897959107,0,A18N018969
143,0.6119013957366435,4.0,4.0,13.0,25.0,0.0,1.0,0.1123595505617978,0,A15F018464
144,1.4597098380598155,1.0,1.0,10.0,7.0,0.0,1.0,2.734042553191489,1,A18N090234
145,0.32037494320611676,3.0,3.0,6.0,25.0,0.0,1.0,-0.26724137931034486,0,A16F150839
146,0.5433112973014652,2.0,2.0,8.0,13.0,0.0,1.0,-0.3380281690140845,1,A17F113687
147,0.8966866726216586,5.0,5.0,7.0,25.0,0.0,1.0,1.0259740259740258,0,A14F204633
149,0.6664970592989431,5.0,5.0,5.0,25.0,1.0,1.0,0.02898550724637672,1,A14F306394
151,0.10254181422312533,7.0,8.0,11.0,25.0,1.0,1.0,0.10596026490066235,0,A11F229231
152,1.1043938936791677,5.0,11.0,17.0,25.0,3.0,2.0,1.8250000000000002,0,A08F455808
153,0.12865196804680426,5.0,5.0,10.0,25.0,0.0,1.0,0.3904109589041096,0,A14F407676
154,1.5231409863638443,11.0,11.0,12.0,25.0,8.0,1.0,0.2584269662921348,0,A08F450988
156,0.33097836621945265,11.0,17.0,3.0,25.0,1.0,1.0,0.19178082191780832,0,A02S201534
157,0.22194944231372407,7.0,8.0,4.0,25.0,0.0,1.0,0.48888888888888893,0,A11F229109
158,0.20138460333690814,2.0,2.0,5.0,14.0,0.0,1.0,0.5555555555555556,1,A17F092366
160,0.3334486702318586,7.0,7.0,4.0,25.0,0.0,1.0,0.6074766355140186,0,A12F098706
162,0.2116196902843792,5.0,7.0,738.0,25.0,0.0,1.0,0.08878504672897192,0,C12L004073
163,0.1513012994934778,3.0,15.0,146.0,25.0,1.0,2.0,-0.005464480874316946,1,C04S002682
165,1.396829187412054,5.0,5.0,30.0,25.0,9.0,1.0,-0.503921568627451,0,A14F304006
166,1.3065199305492798,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1,A18N308400
167,0.9580329704285905,9.0,9.0,35.0,25.0,0.0,1.0,1.5704225352112675,0,A10F169707
169,0.4708812236120271,5.0,12.0,18.0,25.0,19.0,2.0,0.32456140350877183,0,A07F335410
170,0.30738583912563683,4.0,4.0,25.0,25.0,0.0,1.0,0.7619047619047619,0,A15F017280
172,0.9798497229973053,5.0,11.0,684.0,25.0,5.0,1.0,0.14019388516032816,0,F08S003174
173,0.10503805239964886,3.0,10.0,81.0,25.0,0.0,2.0,0.1869158878504673,0,A09F038598
174,0.5728409246552797,8.0,17.0,19.0,25.0,1.0,1.0,0.3305785123966942,1,A02S685466
175,0.3583957058122298,5.0,5.0,5.0,25.0,0.0,1.0,0.24242424242424243,0,A14F408550
176,0.04285495643554834,1.0,1.0,3.0,3.0,0.0,1.0,0.0,1,A18N187559
177,0.7587444186772357,2.0,11.0,5.0,19.0,0.0,2.0,0.8533333333333333,1,A08F495965
178,0.4049547417762642,7.0,13.0,18.0,25.0,0.0,1.0,-0.08403361344537819,0,A06S703972
179,0.05587260669577023,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1,A18N187473
180,1.0405960968052834,1.0,1.0,5.0,4.0,2.0,1.0,0.0,1,A18N142675
181,0.9983983515632459,1.0,1.0,5.0,4.0,1.0,1.0,0.0,1,A18N142567
182,0.4795187917120019,1.0,1.0,8.0,10.0,0.0,1.0,0.679245283018868,1,A18N037757
184,0.08882158159142059,1.0,1.0,13.0,4.0,0.0,1.0,0.0,1,A18N210268
185,0.8235210758199895,3.0,13.0,18.0,25.0,0.0,2.0,0.3262411347517731,1,A06F299457
187,0.5880558160969694,10.0,10.0,7.0,25.0,0.0,1.0,1.1016949152542375,0,A09F215502
189,0.08333333333333333,1.0,1.0,15.0,4.0,0.0,1.0,0.0,1,A18N180806
190,0.4676961279028083,1.0,1.0,25.0,5.0,0.0,1.0,0.0,0,A18N180896
192,1.383964750683147,10.0,17.0,20.0,25.0,0.0,1.0,1.391304347826087,0,A02S435396
194,0.21427478217774168,1.0,1.0,13.0,3.0,0.0,1.0,0.0,1,A18N309248
196,0.7598896613463323,4.0,12.0,18.0,25.0,2.0,2.0,-0.5047923322683706,0,A07F337514
197,0.2267962317882357,6.0,7.0,8.0,25.0,0.0,1.0,0.44897959183673475,0,A12F375164
198,0.35669216392690306,10.0,17.0,3.0,25.0,0.0,1.0,0.7908496732026145,0,A02L375908
200,1.9805466636108915,3.0,3.0,5.0,25.0,12.0,1.0,0.0,0,A16F210682
201,0.42094110729126116,13.0,13.0,1.0,25.0,1.0,1.0,0.97196261682243,1,A06F276085
204,0.7279873186365919,2.0,4.0,5.0,24.0,2.0,1.0,-0.11016949152542377,0,A15F040692
205,0.22123134891668916,4.0,4.0,12.0,25.0,1.0,1.0,0.2735849056603774,1,A15F251526
207,0.5397998676294777,2.0,2.0,10.0,22.0,1.0,1.0,0.9763033175355451,0,A17F015475
208,0.13292574183739822,1.0,1.0,5.0,8.0,0.0,1.0,0.3277777777777777,1,A18N033635
210,0.49915997066358375,6.0,15.0,3.0,25.0,0.0,2.0,-0.4252873563218391,0,A04S259457
211,0.2223982000263213,10.0,18.0,7.0,25.0,4.0,1.0,0.25396825396825395,0,A01S684241
212,0.11840283654271348,1.0,10.0,5.0,17.0,6.0,2.0,-0.14893617021276595,1,A09F158069
213,0.11840283654271348,1.0,10.0,8.0,17.0,6.0,2.0,-0.14893617021276595,1,A09F158069
214,0.14285714285714285,1.0,1.0,8.0,4.0,0.0,1.0,0.0,1,A18N141679
215,0.06536653190710605,1.0,1.0,11.0,5.0,0.0,1.0,0.0,1,A18N213266
217,1.38676023606272,7.0,15.0,7.0,25.0,1.0,2.0,2.6315789473684212,1,A04S350788
218,0.22322117248526227,9.0,9.0,5.0,25.0,0.0,1.0,0.35344827586206895,0,A10F016007
219,0.21094707665553974,5.0,6.0,10.0,25.0,0.0,1.0,0.40625,0,A13F195901
220,0.11390129031275315,5.0,13.0,6.0,25.0,0.0,2.0,-0.032258064516129004,0,A06F385819
221,0.2679712535796472,5.0,5.0,4.0,25.0,8.0,1.0,0.005235602094240788,0,A14F377064
225,0.6147926406719614,9.0,9.0,6.0,25.0,0.0,1.0,0.2872340425531914,0,A10F006500
226,0.3073618110258331,4.0,13.0,6.0,24.0,0.0,2.0,0.7752808988764044,0,A06F403966
227,0.4060928508638085,13.0,13.0,1.0,25.0,0.0,1.0,0.9411764705882353,0,A06F381325
228,1.3969302480662802,12.0,17.0,5.0,24.0,0.0,1.0,2.319672131147541,0,A02S225818
230,0.5946880039092792,7.0,7.0,7.0,25.0,0.0,1.0,1.0075757575757578,0,A12F148927
232,1.3918333852693234,10.0,20.0,7.0,25.0,7.0,1.0,0.20930232558139528,0,A99S524087
233,0.35701410597347516,5.0,5.0,3.0,25.0,0.0,1.0,1.3461538461538463,0,A14F077615
236,0.41383874805823456,5.0,13.0,6.0,25.0,0.0,2.0,1.0909090909090908,0,A06F404148
237,0.1498667219586816,1.0,1.0,8.0,6.0,0.0,1.0,0.10236220472440949,1,A18N092929
238,1.1088048052742645,8.0,9.0,4.0,25.0,0.0,1.0,1.8571428571428572,1,A10F551011
240,1.379307226808417,3.0,13.0,4.0,25.0,9.0,2.0,3.0,1,A06F530735
241,0.1446115636898687,7.0,8.0,3.0,25.0,1.0,1.0,0.22077922077922074,1,A11F325946
242,0.3205760706788806,6.0,15.0,80.0,25.0,1.0,2.0,0.0453920220082531,0,A04S426264
243,0.4245892259271283,6.0,7.0,5.0,25.0,1.0,1.0,0.6375,1,A12F353586
245,0.2076322971799271,10.0,11.0,4.0,25.0,0.0,1.0,0.3551401869158879,0,A08F491915
246,0.7264501609028946,3.0,4.0,15.0,25.0,2.0,1.0,1.0192307692307692,0,A15F265623
247,0.19113349832706417,6.0,10.0,5.0,25.0,0.0,2.0,0.28859060402684555,0,A09F006328
248,0.1744539599193051,3.0,11.0,4.0,25.0,0.0,2.0,0.4297520661157024,1,A08F475216
249,0.13616289280476915,2.0,2.0,6.0,23.0,0.0,1.0,0.49056603773584895,0,A17F002287
250,0.19086647998468284,3.0,13.0,10.0,25.0,0.0,2.0,0.2836879432624113,1,A06F374984
251,0.4291283523835205,1.0,1.0,30.0,8.0,0.0,1.0,0.768729641693811,1,A18N054096
252,0.5785211304310444,7.0,15.0,6.0,25.0,4.0,1.0,0.4477611940298507,1,A04S124798
254,1.2364612770184202,10.0,10.0,6.0,25.0,1.0,1.0,0.2124999999999999,0,A09F220996
259,0.4366140266629866,5.0,5.0,5.0,25.0,0.0,1.0,0.6491228070175439,0,A14F079354
261,0.7752469986724343,8.0,9.0,15.0,25.0,0.0,1.0,1.3611111111111112,0,A10F488590
265,0.2529958454500544,6.0,7.0,24.0,25.0,0.0,1.0,0.5514705882352942,0,A12F241353
266,0.37890154124499514,10.0,17.0,9.0,25.0,2.0,1.0,-0.20472440944881887,0,A02S080972
267,0.5431230974299821,9.0,14.0,25.0,25.0,2.0,1.0,0.641025641025641,0,A05F059643
269,0.3621675118798806,3.0,16.0,5.0,25.0,0.0,1.0,-0.013513513513513487,0,A03S024399
270,1.487104993318923,1.0,1.0,5.0,5.0,0.0,1.0,0.0,1,A18N062963
271,0.8253817511700268,1.0,1.0,9.0,9.0,0.0,1.0,-0.10588235294117643,1,A18N105929
272,0.3778900925159341,1.0,1.0,6.0,5.0,0.0,1.0,0.0,1,A18N213631
273,1.3432035602230232,2.0,2.0,4.0,13.0,0.0,1.0,-0.7,1,A17F112006
274,1.742330131092924,1.0,11.0,7.0,21.0,2.0,2.0,0.0,1,A08F516296
275,1.742330131092924,1.0,11.0,12.0,21.0,2.0,2.0,0.0,1,A08F516296
278,0.4896704389990592,1.0,11.0,8.0,9.0,0.0,2.0,0.8783783783783783,1,A08F225398
280,0.3252909659358712,6.0,7.0,10.0,25.0,0.0,2.0,0.0672268907563025,0,A12F335999
281,0.6955285081856195,8.0,15.0,6.0,25.0,0.0,1.0,0.15853658536585358,1,A04S065083
283,0.3404644990869153,6.0,11.0,9.0,25.0,0.0,2.0,0.21111111111111103,0,A08F434251
284,0.02886150127292031,1.0,1.0,10.0,3.0,0.0,1.0,0.0,1,A18N317839
285,0.3238031064427715,8.0,11.0,60.0,25.0,0.0,1.0,0.04603330068560241,0,A08F511664
288,0.18130943107347372,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1,A18N320887
289,0.3309861528958307,1.0,1.0,5.0,3.0,1.0,1.0,0.0,1,A18N319872
290,0.6569071534929798,1.0,2.0,6.0,5.0,0.0,1.0,0.0,1,A17N286903
291,0.4751031613240156,11.0,17.0,5.0,25.0,0.0,1.0,0.2660550458715596,0,A02S200911
293,0.22941059595282326,6.0,6.0,6.0,25.0,0.0,1.0,0.5555555555555556,1,A13F149114
294,0.25456736233854393,11.0,11.0,8.0,25.0,0.0,1.0,0.5176470588235293,0,A08F470559
295,0.4400760544105969,5.0,6.0,7.0,25.0,1.0,1.0,0.24528301886792447,1,A13F232888
296,0.39429849214879,5.0,6.0,8.0,25.0,0.0,1.0,1.3333333333333335,0,A13F150190
297,0.4957638436174248,11.0,12.0,3.0,25.0,2.0,1.0,0.8189655172413792,0,A07F267208
298,0.4120988597390174,2.0,5.0,328.0,14.0,1.0,1.0,0.701195219123506,1,D14L004844
299,0.6816086684560574,2.0,2.0,12.0,21.0,0.0,1.0,1.3539823008849559,0,A17F022918
300,0.691192878702133,3.0,11.0,16.0,25.0,0.0,2.0,1.1470588235294117,1,A08F475995
301,0.6174891215234399,3.0,13.0,14.0,25.0,13.0,2.0,0.2983870967741935,0,A06F326482
302,0.1235137684836664,7.0,7.0,2.0,25.0,0.0,1.0,0.2649572649572649,0,A12F032290
303,1.2031168773936611,9.0,9.0,8.0,25.0,3.0,1.0,2.6956521739130435,0,A10F478859
304,1.1618584104728056,5.0,5.0,3.0,25.0,1.0,1.0,0.33333333333333326,1,A14F115483
305,1.3898305047019883,3.0,3.0,8.0,25.0,3.0,1.0,2.183673469387755,1,A16F055924
306,0.3589962349209839,5.0,12.0,6.0,25.0,0.0,2.0,0.7065217391304348,1,A07S134916
307,0.8160358839081903,9.0,15.0,96.0,25.0,1.0,1.0,-0.11611692142665597,1,E04S001735
310,0.4603282866230541,4.0,4.0,4.0,25.0,0.0,1.0,0.6268656716417911,0,A15F136413
311,0.41970437395578236,2.0,2.0,17.0,14.0,0.0,1.0,-0.03125,0,A17F110149
312,0.3385443027108257,2.0,2.0,12.0,14.0,0.0,1.0,0.32183908045977017,1,A17F109950
313,0.5324507674770248,7.0,7.0,6.0,25.0,0.0,1.0,0.14500000000000002,0,A12F179514
314,0.588020932140358,1.0,1.0,5.0,6.0,1.0,1.0,0.2068965517241379,1,A18N220078
315,1.3822597966735797,11.0,12.0,3.0,24.0,1.0,1.0,0.8400000000000001,0,A07F306610
316,0.25970875619138184,12.0,20.0,1.0,25.0,0.0,1.0,0.34375,0,A99S427299
317,0.22685241756533528,13.0,13.0,4.0,25.0,0.0,1.0,0.2842639593908629,0,A06F385210
318,0.16151914862996797,1.0,1.0,5.0,15.0,0.0,1.0,1.0217391304347827,1,A18N020802
319,0.4673189918270711,1.0,2.0,12.0,11.0,0.0,1.0,0.02857142857142847,1,A17N316208
323,0.16070608663330627,1.0,1.0,28.0,3.0,0.0,1.0,0.0,1,A18N317080
325,0.7932415031707788,8.0,10.0,14.0,25.0,8.0,1.0,2.1739130434782608,0,A09F036038
326,1.047651025002324,1.0,1.0,3.0,4.0,1.0,1.0,0.0,1,A18N225937
327,0.4346622800634116,1.0,2.0,6.0,10.0,1.0,1.0,0.22999999999999998,0,A17N309136
328,0.4076165583983992,4.0,4.0,8.0,25.0,1.0,1.0,0.7315436241610738,0,A15F041626
329,0.2821649021370028,5.0,6.0,10.0,25.0,0.0,1.0,0.1378555798687089,0,A13F237188
330,0.48587027604027827,1.0,1.0,6.0,8.0,0.0,1.0,0.2278481012658229,1,A18N092589
331,0.7231773898498781,3.0,3.0,3.0,25.0,6.0,1.0,1.1578947368421053,0,A16F059208
332,0.9563724233927214,1.0,10.0,1.0,14.0,4.0,2.0,0.0,1,A09F216444
333,0.9563724233927214,1.0,10.0,4.0,14.0,4.0,2.0,0.0,1,A09F216444
335,0.944289734785656,10.0,15.0,11.0,25.0,0.0,1.0,2.317073170731707,1,A04S015578
336,0.3964065414466585,3.0,5.0,4.0,25.0,0.0,2.0,0.2831858407079646,0,A14F308217
337,0.28411012290057136,3.0,13.0,6.0,25.0,0.0,2.0,0.03508771929824572,0,A06F404103
338,0.5671863907286467,4.0,4.0,12.0,25.0,0.0,1.0,1.4925373134328357,0,A15F163457
339,0.019372788525658838,1.0,1.0,4.0,3.0,0.0,1.0,0.0,1,A18N318314
340,0.3203021347477379,3.0,10.0,6.0,25.0,0.0,2.0,0.6666666666666667,1,A09F122068
341,1.0198039027185568,1.0,1.0,9.0,6.0,2.0,1.0,0.43333333333333335,1,A18N183437
342,0.4026290243138589,6.0,6.0,12.0,24.0,0.0,1.0,0.10370370370370363,0,A13F151431
343,0.6392720318066127,2.0,2.0,1.0,20.0,0.0,1.0,-0.313953488372093,1,A17F031456
345,0.22610350798185097,5.0,12.0,4.0,25.0,0.0,2.0,0.5514018691588785,0,A07F254967
346,0.18367641171759996,1.0,1.0,6.0,4.0,0.0,1.0,0.0,1,A18N290053
347,0.6376613352698569,6.0,13.0,3.0,25.0,0.0,2.0,2.372093023255814,1,A06S708486
348,1.2982951353020955,9.0,9.0,6.0,25.0,4.0,1.0,1.183673469387755,0,A10F182203
349,0.581553043728302,2.0,11.0,17.0,21.0,16.0,2.0,1.0298507462686568,1,A08F237978
350,0.8891596184768052,6.0,12.0,228.0,25.0,1.0,2.0,2.540983606557377,0,A07F251562
351,0.28142739545770074,2.0,13.0,5.0,22.0,0.0,2.0,0.6964285714285714,0,A06F316515
353,0.5091375038802008,3.0,3.0,7.0,25.0,2.0,1.0,2.161290322580645,1,A16F133595
354,0.3397244618912577,1.0,1.0,3.0,7.0,0.0,1.0,0.3831775700934579,1,A18N092362
356,0.39173295432178173,7.0,7.0,6.0,25.0,0.0,1.0,1.8305084745762712,0,A12F344981
357,0.25038312700451476,6.0,9.0,3.0,25.0,1.0,2.0,0.9724770642201834,1,A10F123260
358,1.459758242256881,4.0,5.0,28.0,25.0,0.0,2.0,-0.6363636363636364,0,A14F405413
359,0.1766549063085003,8.0,14.0,12.0,25.0,0.0,1.0,0.36363636363636354,0,A05F094048
361,0.8693944268235887,3.0,3.0,6.0,25.0,1.0,1.0,2.7473684210526317,0,A16F124792
362,0.7976634495302161,2.0,3.0,3.0,22.0,0.0,1.0,0.7166666666666666,1,A16F276716
363,0.37592101163229386,11.0,11.0,5.0,25.0,0.0,1.0,0.5943396226415094,0,A08F482595
364,0.16001295703933777,1.0,1.0,19.0,9.0,0.0,1.0,0.34523809523809534,1,A18N023502
365,0.22171222303229624,5.0,6.0,15.0,25.0,0.0,1.0,0.3999999999999999,0,A13F269882
366,0.7393147029584447,1.0,1.0,7.0,5.0,2.0,1.0,0.0,1,A18N228389
367,0.22058861151801534,5.0,5.0,6.0,25.0,0.0,1.0,0.3999999999999999,0,A14F292962
368,1.5031047725026516,5.0,5.0,9.0,25.0,8.0,1.0,0.015625,1,A14F396698
369,1.4807796369930717,5.0,5.0,5.0,25.0,0.0,1.0,2.1818181818181817,1,A14F400274
370,0.3782150550878597,1.0,2.0,3.0,11.0,0.0,1.0,1.036144578313253,0,A17N305075
371,0.49123373214112565,7.0,15.0,4.0,25.0,0.0,1.0,1.7200000000000002,0,A04L589742
372,0.38826201462991566,3.0,13.0,4.0,25.0,0.0,2.0,1.206896551724138,0,A06F385520
375,0.24206093601237044,9.0,18.0,13.0,25.0,0.0,1.0,0.0117647058823529,1,A01S548604
376,0.7106413824143277,7.0,15.0,6.0,25.0,0.0,1.0,0.6702127659574468,1,A04L542349
377,0.6667514122664975,7.0,8.0,3.0,25.0,0.0,1.0,2.3444444444444446,0,A11F036075
378,0.7022206675379701,5.0,5.0,8.0,25.0,0.0,1.0,1.8181818181818183,1,A14F298804
379,1.8367641171759994,9.0,10.0,5.0,25.0,16.0,1.0,-0.11224489795918369,1,A09F097462
381,0.9230605702371488,7.0,8.0,3.0,25.0,0.0,1.0,0.2923076923076924,0,A11F229018
382,0.23033262088171907,7.0,8.0,5.0,25.0,1.0,1.0,0.3928571428571428,1,A11F289084
383,0.36909408868207194,6.0,6.0,4.0,25.0,2.0,1.0,-0.2410714285714286,0,A13F237797
385,0.5066125235596868,1.0,2.0,4.0,12.0,0.0,1.0,0.025316455696202445,1,A17N286967
386,0.35784004254678003,4.0,4.0,9.0,25.0,0.0,1.0,0.4336283185840708,0,A15F164003
388,0.17060577265413943,1.0,1.0,6.0,9.0,0.0,1.0,0.30327868852459017,1,A18N053174
389,0.3860936712526721,14.0,26.0,23.0,25.0,24.0,1.0,-0.875,0,A93A050751
391,0.16449704412573543,9.0,9.0,28.0,25.0,0.0,1.0,0.22020725388601026,0,A10F013157
392,0.19869594295149537,9.0,10.0,3.0,25.0,3.0,1.0,0.5652173913043479,1,A09F317684
393,1.1964393219188916,1.0,1.0,3.0,4.0,0.0,1.0,0.0,1,A18N210566
394,0.23353132393271683,3.0,3.0,15.0,25.0,0.0,1.0,0.25,1,A16F122192
396,0.1814875182376319,2.0,5.0,221.0,15.0,0.0,1.0,0.3834339001645639,1,D14L005022
397,0.44924705526766306,1.0,1.0,7.0,11.0,0.0,1.0,0.7222222222222223,1,A18N103863
399,0.33696192288247934,4.0,4.0,6.0,24.0,0.0,1.0,0.9285714285714286,0,A15F246951
400,0.21320479434409728,9.0,9.0,6.0,24.0,0.0,1.0,0.12307692307692308,0,A10F038034
402,0.6150080263633341,1.0,10.0,6.0,14.0,0.0,2.0,2.6363636363636362,0,A09F036412
403,0.6150080263633341,1.0,10.0,10.0,14.0,0.0,2.0,2.6363636363636362,0,A09F036412
404,0.8612183024359156,1.0,2.0,22.0,13.0,3.0,1.0,0.46875,1,A17N302050
406,0.6887305207976974,7.0,12.0,10.0,25.0,0.0,1.0,2.888888888888889,0,A07F300095
407,0.2673011576719275,4.0,4.0,15.0,25.0,0.0,1.0,0.1387283236994219,0,A15F158991
408,0.20364123907820855,2.0,2.0,6.0,14.0,0.0,1.0,0.6608695652173913,1,A17F108987
409,0.3690382174375514,4.0,4.0,22.0,25.0,0.0,1.0,1.3450704225352115,0,A15F109495
410,1.3458300953628708,5.0,13.0,99.0,25.0,0.0,2.0,2.759259259259259,0,A06F363843
