IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,valido,PROBA
A09F034709,6561365,0.12244257,25,1,4,0.009090909,10,10,0,743,11,14.0,14.0,6561365,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,743"
A09F304744,6137512,0.22009927,25,0,6,0.011494253,10,9,0,"0,7427",11,13.0,13.0,6137512,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7427"
A11F327573,4465008,0.28367847,25,0,16,-0.2857143,8,7,0,"0,7427",11,9.0,9.0,4465008,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,7427"
A09F034780,7219687,0.14272091,25,4,6,-0.0990099,10,10,0,742,11,14.0,14.0,7219687,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,742"
A10F546071,4449207,0.15970282,25,0,1,-0.13861386,9,8,0,"0,74",11,13.0,13.0,4449207,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,74"
A09F008927,6561918,0.13910156,25,0,6,-0.096491225,10,10,0,"0,7393",11,14.0,14.0,6561918,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7393"
A09F244590,6557619,0.12418993,25,0,4,0.10743801,10,10,0,"0,7393",11,18.0,18.0,6557619,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7393"
A11F187470,4459520,0.124895126,25,0,4,-0.041666668,8,8,0,"0,7393",11,15.0,15.0,4459520,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7393"
A09F120196,4468406,0.1539612,25,0,3,0.23333333,10,10,0,"0,7383",11,9.0,9.0,4468406,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7383"
A09F191185,5952034,0.5385253,25,0,1,1.3589743,10,10,0,"0,7383",11,10.0,10.0,5952034,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7383"
A10F005878,3200884,0.18135875,25,0,17,-0.020408163,9,6,0,"0,7383",11,14.0,14.0,3200884,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,7383"
A09F189330,5954541,0.19326408,25,0,4,0.25287357,10,10,0,737,11,15.0,15.0,5954541,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,737"
A08F494079,5866618,0.51483387,25,0,5,2.357143,11,10,0,736,11,19.0,19.0,5866618,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,736"
A09F239523,6778976,0.5416322,25,0,4,0.68421054,10,9,0,"0,7354",11,20.0,20.0,6778976,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7354"
A10F508281,4468287,0.36563316,25,0,1,-0.52112675,9,8,0,"0,7354",11,9.0,9.0,4468287,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7354"
A00S628007,2097419,0.7177232,25,0,6,-392,19,10,0,735,11,18.0,18.0,2097419,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,735"
A09F044765,5918901,0.13608277,25,0,5,0.027027028,10,10,0,735,11,14.0,14.0,5918901,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,735"
A11N235241,5934206,0.19340995,25,4,6,0.00862069,8,8,0,735,11,15.0,15.0,5934206,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,735"
A11N304669,4458400,0.16465947,25,0,6,0.0,8,8,0,734,11,14.0,14.0,4458400,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,734"
A10F545909,4448944,0.13626537,25,0,6,-0.05263158,9,8,0,"0,7324",11,14.0,14.0,4448944,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7324"
A09F186708,5935857,0.17150557,25,0,5,0.056603774,10,10,0,732,11,13.0,13.0,5935857,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,732"
A09F188484,2526972,0.80298966,25,0,3,2.1875,10,10,0,732,11,9.0,9.0,2526972,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,732"
A08F493765,6561470,0.13829409,25,0,3,0.12962963,11,10,0,731,11,14.0,14.0,6561470,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,731"
A09F239659,6012469,0.3753828,25,0,6,-0.39473686,10,10,0,731,11,13.0,13.0,6012469,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,731"
A09F163710,664286,0.18764964,25,0,3,0.14893617,10,10,0,"0,7305",11,14.0,14.0,664286,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7305"
A09F034360,4457277,0.24982372,25,0,1,-0.47540984,10,10,0,"0,73",11,14.0,14.0,4457277,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,73"
A09F095494,4469755,0.45597592,25,2,1,-0.35576922,10,10,0,"0,7295",11,9.0,9.0,4469755,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7295"
A09F121261,4458869,0.12563252,25,1,5,0.015384615,10,10,0,"0,7295",11,17.0,17.0,4458869,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7295"
A09F001042,5736455,0.46630406,25,0,5,-0.32,10,10,0,728,11,10.0,9.0,5736455,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,728"
A08F457546,5875099,0.1140343,25,0,1,-0.08256881,11,10,0,"0,7266",11,13.0,13.0,5875099,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7266"
A09F195154,5968305,0.35071504,25,0,4,-0.12,10,10,0,723,11,9.0,9.0,5968305,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,723"
A10F225595,5949726,0.25383943,25,0,6,-0.33333334,9,9,0,722,11,13.0,13.0,5949726,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,722"
A11N319583,2329964,0.19526643,25,0,6,-0.20454545,8,8,0,722,11,9.0,9.0,2329964,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,722"
A03S407429,4449878,0.4339956,25,0,5,2.3333333,16,10,0,"0,7217",11,14.0,14.0,4449878,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7217"
A09F190187,5905893,0.1391668,25,0,5,-0.25657895,10,10,0,"0,7217",11,15.0,15.0,5905893,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7217"
A09F209224,4461495,0.1613263,25,4,1,-0.13636364,10,10,0,721,11,9.0,9.0,4461495,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,721"
A10F253412,4450213,0.4331976,25,0,5,-0.50641024,9,9,0,721,11,13.0,13.0,4450213,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,721"
A08F223472,8175756,0.24022919,25,1,4,-0.20689656,11,11,0,"0,72",11,13.0,13.0,8175756,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,72"
