IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,valido,PROBA
A05F105667,5894760,0.81273055,25,3,5,1.1219512,14,10,0,679,11,9.0,9.0,5894760,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,679"
A14F245251,4464923,0.3160712,25,6,13,-0.03125,5,5,0,"0,6787",11,10.0,10.0,4464923,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6787"
A11F327870,2699133,0.1849134,25,0,10,0.11827957,8,7,0,"0,6777",11,13.0,13.0,2699133,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6777"
A12F355098,3201481,0.2419975,25,0,12,-0.2,7,6,0,"0,6777",11,10.0,10.0,3201481,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6777"
A14F308329,4072537,0.40993348,25,0,8,0.8196721,5,5,0,"0,6777",11,9.0,9.0,4072537,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6777"
A12F367956,9811761,0.5723527,25,0,10,-0.41346154,7,5,0,"0,6763",11,10.0,10.0,9811761,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6763"
A15F212519,6651780,0.41710028,25,0,20,-0.503876,4,4,0,"0,6763",11,14.0,14.0,6651780,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6763"
A09F250322,6012094,0.41910577,25,0,11,-0.24752475,10,4,0,675,11,9.0,9.0,6012094,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,675"
A11F223479,3200817,0.33618546,25,4,9,-0.091836736,8,7,0,"0,6743",11,10.0,10.0,3200817,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6743"
A15F213181,7229402,0.41250563,25,4,26,-0.44512194,4,4,0,"0,6743",11,46.0,46.0,7229402,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6743"
A02S688735,2123061,0.1407981,25,0,10,0.071428575,17,10,0,673,11,14.0,14.0,2123061,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,673"
A11F293780,3199789,0.32702535,25,0,12,-0.11392405,8,7,0,673,11,10.0,10.0,3199789,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,673"
A12F222280,5191351,0.39402622,25,2,16,-0.3432836,7,6,0,673,11,17.0,17.0,5191351,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,673"
A15F212636,6651755,0.6654012,25,0,20,0.054054055,4,4,0,673,11,10.0,10.0,6651755,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,673"
A10F062194,3860884,0.6545632,25,0,13,1.7115384,9,5,0,671,11,17.0,17.0,3860884,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,671"
A09F190095,2592487,0.4845077,25,4,2,11.25,10,10,0,"0,6704",11,17.0,17.0,2592487,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6704"
A11F329266,3743160,0.13141799,25,0,10,0.10185185,8,7,0,"0,67",11,15.0,15.0,3743160,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,67"
A09F271578,2119676,0.856613,25,0,12,-0.71028036,10,5,0,667,11,10.0,10.0,2119676,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,667"
A05F105433,5719976,0.18892668,25,0,4,0.13186814,14,10,0,"0,6665",11,13.0,13.0,5719976,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6665"
A10F060979,3199533,0.4776306,25,1,12,0.47761193,9,5,0,"0,6665",11,14.0,14.0,3199533,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6665"
A14F245457,4473914,0.27268437,25,0,18,0.73626375,5,5,0,"0,6665",11,15.0,15.0,4473914,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6665"
A12F369647,2117983,0.2766161,25,0,16,0.22857143,7,6,0,666,11,10.0,10.0,2117983,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,666"
A14F245067,4465270,0.39258012,25,1,14,0.98734176,5,5,0,666,11,14.0,14.0,4465270,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,666"
A05F105705,5733715,0.21650635,25,0,5,0.13333334,14,10,0,"0,6655",11,9.0,9.0,5733715,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6655"
A11F293744,3199649,0.86163306,25,0,12,-0.60194176,8,7,0,"0,6655",11,14.0,14.0,3199649,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6655"
A11F293167,9089942,0.11479951,25,0,5,0.15,8,6,0,665,11,9.0,9.0,9089942,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,665"
A12F354523,4474147,0.17185163,25,0,12,-0.16853933,7,6,0,665,11,9.0,9.0,4474147,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,665"
A05F105821,5711983,0.20713916,25,0,4,0.020408163,14,11,0,"0,6646",11,13.0,13.0,5711983,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6646"
A14F287874,3861198,0.17464434,25,0,16,-0.16455697,5,5,0,"0,6646",11,9.0,9.0,3861198,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6646"
A10F061795,3295281,0.37151155,25,0,13,0.04054054,9,5,0,663,11,9.0,9.0,3295281,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,663"
A11F225083,7219180,0.18785398,25,0,12,-0.2173913,8,7,0,663,11,14.0,14.0,7219180,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,663"
A13F140614,5193850,0.1736452,25,0,12,-0.29896906,6,6,0,663,11,9.0,9.0,5193850,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,663"
A14F245467,4466020,0.43669203,25,7,14,-0.5534351,5,5,0,663,11,15.0,15.0,4466020,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,663"
A05F105441,5735661,0.16092774,25,0,5,0.23188406,14,10,0,"0,6626",11,10.0,10.0,5735661,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6626"
A12F238473,6563244,0.10003436,25,0,9,-0.05982906,7,6,0,"0,6626",11,14.0,14.0,6563244,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6626"
A14F245365,3199550,0.23303875,25,0,15,-0.15730338,5,5,0,661,11,9.0,9.0,3199550,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,661"
A10F060963,2581086,0.3032396,25,0,11,125,9,5,0,"0,6606",11,9.0,9.0,2581086,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6606"
A14F245013,2313715,0.10154381,25,0,12,-0.06329114,5,5,0,"0,6606",11,10.0,10.0,2313715,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6606"
A05F114645,5915473,0.17798822,25,0,3,0.078125,14,10,0,"0,66",11,10.0,10.0,5915473,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,66"
A10F060640,2436582,0.10684851,25,0,12,-0.012987013,9,5,0,"0,66",11,10.0,10.0,2436582,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,66"
A11F186693,2115972,0.14815691,25,0,8,-0.1985294,8,7,0,"0,66",11,14.0,14.0,2115972,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,66"
A13F203033,3200493,0.41066,25,0,14,0.8695652,6,6,0,"0,66",11,9.0,9.0,3200493,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,66"
A14F245089,3777022,0.42758602,25,1,15,-0.24806201,5,5,0,"0,66",11,13.0,13.0,3777022,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,66"
A14F288151,6638937,0.20126773,25,0,13,-0.29807693,5,5,0,"0,66",11,9.0,9.0,6638937,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,66"
A11F293749,3295010,0.1348085,25,0,8,-0.17886178,8,7,0,"0,6597",11,13.0,13.0,3295010,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6597"
A10F060087,8322180,0.21614936,25,0,12,-0.2551724,9,5,0,659,11,13.0,13.0,8322180,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,659"
A10F060596,2436485,0.20741414,25,0,12,-0.2,9,5,0,"0,6587",11,13.0,13.0,2436485,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6587"
A14F245445,2438607,0.112674415,25,0,13,-0.11805555,5,5,0,"0,6587",11,17.0,17.0,2438607,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6587"
A01S768740,4473310,0.5569427,25,0,12,0.80851066,18,10,0,658,11,13.0,13.0,4473310,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,658"
A12F239032,6672442,0.6555371,25,0,9,-0.8235294,7,7,0,658,11,9.0,9.0,6672442,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,658"
A13F239925,3202518,0.22830106,25,0,13,-0.030303031,6,5,0,658,11,13.0,13.0,3202518,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,658"
A14F245466,4466047,0.39315268,25,0,12,-0.1459854,5,5,0,658,11,14.0,14.0,4466047,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,658"
A09F196237,5960657,0.83092695,25,0,4,7.7777777,10,10,0,"0,6577",11,10.0,10.0,5960657,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6577"
A12F035910,6311792,0.084862515,25,0,7,0.014084507,7,7,0,657,11,9.0,9.0,6311792,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,657"
A14F245473,4466101,0.1504019,25,0,13,-0.19496855,5,5,0,657,11,17.0,17.0,4466101,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,657"
A10F060809,3200272,0.1380725,25,0,15,-0.17045455,9,5,0,"0,6567",11,10.0,10.0,3200272,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6567"
A10F060774,2328925,0.10403901,25,0,12,0.16666667,9,5,0,"0,6567",11,17.0,17.0,2328925,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6567"
A13F140499,2116570,0.46222284,25,0,15,1.8529412,6,6,0,"0,6562",11,18.0,18.0,2116570,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6562"
A05F105652,5895006,0.19859451,25,0,5,0.33870968,14,10,0,656,11,10.0,10.0,5895006,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,656"
A12F223199,6665640,0.105935305,25,0,10,-0.09756097,7,7,0,656,11,14.0,14.0,6665640,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,656"
A13F140281,2124254,0.36108768,25,0,12,-0.41221374,6,6,0,656,11,14.0,14.0,2124254,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,656"
A15F140213,2120739,0.38086313,25,0,15,1.0930233,4,4,0,656,11,18.0,18.0,2120739,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,656"
A13F241873,3199673,0.2561944,25,0,12,0.10377359,6,5,0,"0,6553",11,14.0,14.0,3199673,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6553"
A15F080742,9313427,0.26055753,25,0,15,-0.33544305,4,4,0,"0,6553",11,20.0,20.0,9313427,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6553"
A15F078231,9700005,0.56848603,25,0,15,-0.37333333,4,4,0,"0,6553",11,10.0,10.0,9700005,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6553"
A15F080172,9696890,0.49956965,25,0,13,-0.38502672,4,4,0,"0,6553",11,14.0,14.0,9696890,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6553"
A10F060684,2599457,0.24995072,25,0,11,-0.19871795,9,5,0,655,11,17.0,17.0,2599457,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,655"
A11F293775,3199894,0.31885594,25,0,10,-0.46327683,8,7,0,655,11,17.0,17.0,3199894,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,655"
A11F222937,7219008,0.5515045,25,3,8,-0.082474224,8,7,0,"0,6543",11,9.0,9.0,7219008,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6543"
A14F245612,3199665,0.21546334,25,0,12,-0.3137255,5,5,0,"0,6543",11,14.0,14.0,3199665,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6543"
A03S158225,6556574,0.112146966,25,0,5,0.1904762,16,9,0,654,11,15.0,15.0,6556574,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,654"
A10F159516,2120887,0.22189169,25,0,15,-0.08759124,9,5,0,"0,6533",11,14.0,14.0,2120887,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6533"
A14F245425,2523698,0.20180473,25,0,11,-0.17857143,5,5,0,"0,6533",11,10.0,10.0,2523698,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6533"
A14F245438,2438496,0.2038878,25,0,12,-0.04477612,5,5,0,"0,6533",11,9.0,9.0,2438496,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6533"
A14F245439,2438640,0.54755294,25,0,13,0.4032258,5,5,0,"0,6533",11,10.0,10.0,2438640,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6533"
A15F141330,9526706,0.36738133,25,0,15,-0.06593407,4,4,0,"0,6533",11,10.0,10.0,9526706,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6533"
A00L286780,5922798,0.12605602,25,0,8,-0.09243698,19,10,0,653,11,15.0,15.0,5922798,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,653"
A15F212637,4466462,0.2040585,25,10,9,-0.018018018,4,4,0,653,11,13.0,13.0,4466462,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,653"
A10F060288,4466640,0.14423077,25,10,9,-0.101123594,9,5,0,"0,6523",11,10.0,10.0,4466640,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6523"
A11F293753,6357342,0.13599026,25,0,1,-0.18181819,8,7,0,"0,6523",11,17.0,17.0,6357342,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6523"
A12F144310,2720680,0.10764511,25,0,11,-0.06896552,7,7,0,"0,6523",11,17.0,17.0,2720680,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6523"
A12F289007,4458982,0.14546083,25,0,14,-0.17293233,7,7,0,"0,6523",11,15.0,15.0,4458982,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6523"
A04L269159,6563465,0.1628867,25,0,1,-0.16788322,15,11,0,652,11,15.0,15.0,6563465,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,652"
A05F105461,5893763,0.086213306,25,0,5,-0.06944445,14,10,0,652,11,9.0,9.0,5893763,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,652"
A10F061000,2125811,0.18194726,25,0,12,-0.19,9,5,0,652,11,10.0,10.0,2125811,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,652"
A12F354787,9078932,0.1755784,25,0,8,0.12328767,7,6,0,652,11,10.0,10.0,9078932,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,652"
A10F159812,2329697,0.3378695,25,0,14,-0.09375,9,5,0,"0,6514",11,15.0,15.0,2329697,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6514"
A12F355827,1841084,0.2896449,25,0,8,-0.16666667,7,6,0,"0,6514",11,9.0,9.0,1841084,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6514"
A14F403259,2113775,0.24416138,25,1,12,0.47058824,5,5,0,"0,6514",11,10.0,10.0,2113775,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6514"
A06S470938,7312903,0.14922057,25,0,1,-0.050955415,13,10,0,"0,65",11,17.0,17.0,7312903,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,65"
A10F060641,2436612,0.22414285,25,0,12,-0.14432989,9,5,0,"0,65",11,10.0,10.0,2436612,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,65"
A11F223473,4466691,0.31511417,25,0,8,0.26732674,8,7,0,"0,65",11,14.0,14.0,4466691,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,65"
A13F146130,6853366,0.12301779,25,0,10,0.0,6,6,0,"0,65",11,9.0,9.0,6853366,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,65"
A12F366528,5718775,0.106701255,25,0,3,-0.12941177,7,6,0,"0,65",11,10.0,10.0,5718775,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,65"
A13F242549,4472985,0.1285041,25,0,12,-0.11811024,6,5,0,"0,6494",11,15.0,15.0,4472985,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6494"
A14F288215,7321163,0.20506027,25,0,11,-0.12698413,5,5,0,"0,6494",11,14.0,14.0,7321163,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6494"
A10F058862,2856069,0.1861889,25,0,8,0.43396226,9,5,0,649,11,10.0,10.0,2856069,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,649"
A10F060206,2598973,0.17821036,25,0,11,-0.19444445,9,5,0,649,11,13.0,13.0,2598973,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,649"
A10F061860,2525364,0.11156569,25,0,9,0.2371134,9,5,0,"0,6484",11,14.0,14.0,2525364,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6484"
A13F140354,8286345,0.28291073,25,0,9,-0.1845238,6,6,0,"0,6484",11,14.0,14.0,8286345,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6484"
A03S441934,2097532,0.2056044,25,0,6,0.41975307,16,10,0,648,11,15.0,15.0,2097532,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,648"
A10F060294,4466306,0.14959502,25,0,10,0.07801419,9,5,0,648,11,17.0,17.0,4466306,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,648"
A14F245073,4466322,0.30579966,25,8,15,0.6571429,5,5,0,648,11,14.0,14.0,4466322,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,648"
A13F239917,3201430,0.17922427,25,0,12,-0.08928572,6,5,0,"0,6475",11,15.0,15.0,3201430,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6475"
A14F245223,7614802,0.20129603,25,0,12,-0.22881356,5,5,0,"0,6475",11,14.0,14.0,7614802,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6475"
A12F354583,9080872,0.5752627,25,0,15,3.9166667,7,6,0,647,11,13.0,13.0,9080872,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,647"
A12F355583,9078924,0.2650414,25,0,8,0.39655173,7,6,0,647,11,9.0,9.0,9078924,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,647"
A13F240860,3860051,0.23414414,25,0,14,-0.3707317,6,5,0,647,11,15.0,15.0,3860051,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,647"
A15F140368,8288771,0.31379345,25,0,12,0.1884058,4,4,0,647,11,9.0,9.0,8288771,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,647"
A15F141284,9242635,0.12607348,25,0,12,-0.12605043,4,4,0,647,11,13.0,13.0,9242635,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,647"
A10F060095,3113990,0.26273596,25,0,8,0.12345679,9,5,0,"0,6465",11,9.0,9.0,3113990,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6465"
A10F058642,5721890,0.18581519,25,0,8,0.3372093,9,5,0,"0,6465",11,15.0,15.0,5721890,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6465"
A12F181312,6530036,0.11974392,25,0,10,-0.15037593,7,7,0,"0,6465",11,15.0,15.0,6530036,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6465"
A12F354688,9087060,0.6737227,25,0,8,1.3095238,7,6,0,"0,6465",11,10.0,10.0,9087060,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6465"
A14F245783,3859924,0.32356322,25,0,13,-0.22222222,5,5,0,"0,6465",11,9.0,9.0,3859924,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6465"
A10F000229,3295559,0.19891495,25,0,7,-0.12711865,9,4,0,646,11,15.0,15.0,3295559,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,646"
A13F239253,3859851,0.21037063,25,0,10,-208,6,5,0,646,11,15.0,15.0,3859851,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,646"
A14F245507,9028005,0.14336373,25,3,11,0.11904762,5,5,0,646,11,17.0,17.0,9028005,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,646"
A14F245402,3743373,0.19422998,25,0,12,0.17045455,5,5,0,646,11,14.0,14.0,3743373,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,646"
A14F292786,9847910,0.09714532,25,0,12,-0.08805031,5,5,0,646,11,20.0,20.0,9847910,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,646"
A02S131607,4145011,0.8509774,25,1,4,2.4,17,9,0,"0,6455",11,15.0,15.0,4145011,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6455"
A08F412052,8994471,0.21701035,25,0,10,0.12631579,11,6,0,"0,6455",11,13.0,13.0,8994471,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6455"
