IMO_BSK_IMOVEL,GEO_SET_NUM_SETOR,GEO_LGE_DSC_LOCALIDADE_PRAX,GEO_LGE_DSC_DISTRITO_PRAX,GEO_LGE_DSC_MUNICIPIO_PRAX,GEO_UAD_SGL_UNIDADE_NEGOCIO,PIM_DSC_PADRAO_IMOVEL,SII_NOM_SITUACAO_IMOVEL,SLA_NOM_SITUACAO_LIG_AGUA,proba
5926300,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6494"
7134762,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6494"
7353715,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6494"
14353628,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6494"
8106100,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,649"
8185280,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,649"
14353520,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6484"
7353260,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,648"
14089289,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,648"
14402556,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,648"
10765859,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6475"
2696657,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,647"
3070778,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,647"
5032407,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,647"
5068835,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,647"
6349315,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,647"
7703759,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6465"
9109625,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6465"
14048205,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6465"
5883423,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,646"
7897693,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,646"
3834514,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6455"
5043204,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6455"
6096549,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6455"
14404524,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6455"
10042032,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,645"
14373270,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6445"
769355,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,644"
8999104,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,M�DIO,EM USO,1,"0,644"
9108912,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,644"
10193669,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,644"
2315998,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6436"
