ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43572109,56115717,GERADO PELO SISTEMA
43572078,56067313,GERADO PELO SISTEMA
43572027,56115768,GERADO PELO SISTEMA
43531351,56197373,GERADO PELO MODELO
43531292,56128584,GERADO PELO MODELO
43531291,56128568,GERADO PELO MODELO
43531438,57002150,GERADO PELO MODELO
43531437,57002126,GERADO PELO MODELO
43572170,56273177,GERADO PELO SISTEMA
43572169,56001657,GERADO PELO SISTEMA
43572139,57010820,GERADO PELO SISTEMA
43572075,56128576,GERADO PELO SISTEMA
43531300,56156197,GERADO PELO MODELO
43531299,56156146,GERADO PELO MODELO
43572089,56276036,GERADO PELO SISTEMA
43571980,56128665,GERADO PELO SISTEMA
43531288,56117485,GERADO PELO MODELO
43531273,56084943,GERADO PELO MODELO
43572069,56084935,GERADO PELO SISTEMA
43571993,56117507,GERADO PELO SISTEMA
43572156,56159013,GERADO PELO SISTEMA
43531354,56198132,GERADO PELO MODELO
43531353,56197748,GERADO PELO MODELO
43572155,56197934,GERADO PELO SISTEMA
43572153,56203608,GERADO PELO SISTEMA
43531355,56199341,GERADO PELO MODELO
43572083,56198540,GERADO PELO SISTEMA
43572177,56198256,GERADO PELO SISTEMA
43572104,56197950,GERADO PELO SISTEMA
43531445,57029954,GERADO PELO MODELO
43572164,56032897,GERADO PELO SISTEMA
43572046,56176201,GERADO PELO SISTEMA
43572005,56030576,GERADO PELO SISTEMA
43571977,56176058,GERADO PELO SISTEMA
43531374,56223633,GERADO PELO MODELO
43572120,56225725,GERADO PELO SISTEMA
43572173,56289200,GERADO PELO SISTEMA
43531350,56196660,GERADO PELO MODELO
43531340,56188439,GERADO PELO MODELO
43531339,56184697,GERADO PELO MODELO
43572126,56196563,GERADO PELO SISTEMA
43531357,56212399,GERADO PELO MODELO
43531446,57034915,GERADO PELO MODELO
43572012,56222882,GERADO PELO SISTEMA
43572003,56617712,GERADO PELO SISTEMA
43531334,56173113,GERADO PELO MODELO
43531333,56173091,GERADO PELO MODELO
43572085,56271867,GERADO PELO SISTEMA
43572068,56173067,GERADO PELO SISTEMA
43571964,57008965,GERADO PELO SISTEMA
43531378,56237774,GERADO PELO MODELO
43572057,56052910,GERADO PELO SISTEMA
43572022,57000336,GERADO PELO SISTEMA
43531416,56514816,GERADO PELO MODELO
43572040,56279710,GERADO PELO SISTEMA
43572033,56052987,GERADO PELO SISTEMA
