IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,PROBA,EXISTE
A07S209358,55964699,0.38077664,13,0,7,-0.49565217,12,12,0,654,11,9.0,9.0,55964699,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,654",
A10F560572,56237774,0.22944418,13,0,6,0.4716981,9,8,0,654,11,9.0,9.0,56237774,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,654",
A09F300634,57002150,0.10670248,26,0,8,0.07746479,10,7,0,"0,6533",11,19.0,19.0,57002150,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6533",
A07S304898,56274394,0.23390982,13,0,7,0.30882353,12,9,0,"0,6523",11,10.0,10.0,56274394,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6523",
A09F267495,56170483,0.31826076,13,1,4,0.5185185,10,7,0,652,11,13.0,13.0,56170483,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,652",
A04S016181,56277679,0.114542365,13,0,4,0.12987013,15,9,0,"0,6514",11,10.0,10.0,56277679,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6514",
A10F041215,56279744,0.089542575,13,0,8,-0.025641026,9,9,0,651,11,15.0,15.0,56279744,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,651",
A10F558409,56287011,0.11432829,13,0,4,-0.06481481,9,8,0,651,11,14.0,14.0,56287011,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,651",
A04L311785,56222513,0.14586894,13,0,5,0.11111111,15,10,0,"0,6504",11,9.0,9.0,56222513,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6504",
A06F293869,56345283,0.12196599,13,0,5,0.22857143,13,7,0,"0,65",11,10.0,10.0,56345283,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,65",
A07F308678,56216416,0.1600636,13,0,5,0.13235295,12,10,0,"0,65",11,9.0,9.0,56216416,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,65",
A10F044660,56356110,0.3124025,13,0,6,-0.3956044,9,9,0,"0,65",11,10.0,10.0,56356110,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,ALTO,EM USO,1,1,"0,65",
