IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca
A04L547700,3075273,0.11839175,13,0,9,0.06896552,15,7,0,0.5796,11,19.0,19.0,3075273,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A04L590504,3080382,0.17754541,13,0,6,0.2857143,15,7,0,0.619,11,18.0,18.0,3080382,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L720028,2315998,0.11730879,13,7,4,0.042372882,15,10,0,0.6436,11,15.0,15.0,2315998,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04N463675,5648653,0.29288977,13,3,2,0.35064936,15,11,0,0.6704,11,10.0,10.0,5648653,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A04S015530,4972589,0.40772736,13,0,6,-0.51875,15,6,0,0.5796,11,17.0,17.0,4972589,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A04S016554,5055245,0.16692187,13,0,3,-0.037037037,15,7,0,0.5864,11,10.0,10.0,5055245,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A05F067202,5078032,0.15275252,13,0,1,0.07594936,14,11,0,0.6104,11,10.0,10.0,5078032,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04S220840,5055270,0.15471977,13,0,6,-0.14655173,15,7,0,0.59,11,14.0,14.0,5055270,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A05F104949,12030295,0.20181733,13,0,3,-0.30208334,14,5,0,0.5776,11,10.0,10.0,12030295,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A05F321788,784559,0.109925345,13,0,3,-0.07619048,14,10,0,0.6514,11,13.0,13.0,784559,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A05L074944,9091076,0.16362557,13,0,8,0.2112676,14,6,0,0.636,11,10.0,10.0,9091076,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A05L082670,10192140,0.0,13,13,5,0.0,14,10,0,0.5513,11,9.0,9.0,10192140,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A05L081448,10730907,0.099945456,13,0,8,-0.11320755,14,6,0,0.5947,11,13.0,13.0,10730907,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A05L143585,6032672,0.20108311,13,0,20,-0.23295455,14,6,0,0.5835,11,19.0,19.0,6032672,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A05L355911,9047573,0.14936031,13,0,17,0.111801244,14,6,0,0.637,11,20.0,20.0,9047573,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1
A05L162853,7896565,0.34982017,13,0,5,0.3392857,14,6,0,0.6216,11,9.0,9.0,7896565,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A06F270846,6869718,0.47930643,13,0,2,1.6451613,13,6,0,0.596,11,20.0,21.0,6869718,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A06F289808,5045185,0.1937962,13,0,8,-0.24637681,13,6,0,0.621,11,15.0,15.0,5045185,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A06F284455,8412464,0.21570359,13,0,10,0.013513514,13,6,0,0.597,11,9.0,9.0,8412464,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A06F354319,3834590,0.34959948,13,0,8,-0.17894737,13,6,0,0.5874,11,13.0,13.0,3834590,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A06F291173,3834476,2.2253616,13,0,8,8.827586,13,6,0,0.5557,11,14.0,14.0,3834476,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A06F313305,7875924,0.10025196,13,0,4,0.18055555,13,6,0,0.593,11,10.0,10.0,7875924,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A06F313216,2426285,0.49740273,13,0,2,0.2804878,13,13,0,0.664,11,14.0,14.0,2426285,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A06F379965,2697564,0.37252396,13,0,4,-0.4918033,13,6,0,0.6133,11,14.0,14.0,2697564,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A06F380126,2435748,0.3684262,13,6,4,0.14285715,13,6,0,0.638,11,9.0,9.0,2435748,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A06F335739,8392927,0.14301522,13,0,12,0.14864865,13,6,0,0.6045,11,10.0,10.0,8392927,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1
A06F344521,5453879,0.21315987,13,0,6,-0.25641027,13,6,0,0.596,11,10.0,10.0,5453879,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A06F407930,8396760,0.6181892,13,11,2,0.85294116,13,11,0,0.5923,11,9.0,9.0,8396760,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A06F356700,4530942,0.1412201,13,0,3,-0.12658228,13,6,0,0.6113,11,10.0,10.0,4530942,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A06F357717,5065577,0.11785113,13,0,3,0.020689655,13,6,0,0.5874,11,18.0,18.0,5065577,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A06F358965,10512357,0.19898829,13,1,8,0.25373134,13,10,0,0.659,11,10.0,10.0,10512357,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A06F373780,5043549,0.083040915,13,0,5,-0.04137931,13,6,0,0.5913,11,18.0,18.0,5043549,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A06F384924,3843874,0.4693058,13,0,3,0.21666667,13,13,0,0.6567,11,9.0,9.0,3843874,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A06F392609,7864728,0.100949466,13,0,3,0.0,13,13,0,0.619,11,9.0,9.0,7864728,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
