ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43345942,8675406,GERADO PELO MODELO
43345941,8675368,GERADO PELO MODELO
43345940,8675147,GERADO PELO MODELO
43415719,2313715,GERADO PELO MODELO
43393657,6396771,GERADO PELA UNIDADE
43345976,14072602,GERADO PELO MODELO
43415729,2593696,GERADO PELO MODELO
43393585,2541190,GERADO PELA UNIDADE
43415725,2581086,GERADO PELO MODELO
43393757,776521,GERADO PELA UNIDADE
43393676,7808518,GERADO PELA UNIDADE
43393530,4467094,GERADO PELA UNIDADE
43415873,6109020,GERADO PELO MODELO
43415872,6108539,GERADO PELO MODELO
43415871,6108423,GERADO PELO MODELO
43415827,5892759,GERADO PELO MODELO
43415788,4467310,GERADO PELO MODELO
43415787,4467248,GERADO PELO MODELO
43415786,4467205,GERADO PELO MODELO
43415730,2598850,GERADO PELO MODELO
43345939,8674094,GERADO PELO MODELO
43345938,8674043,GERADO PELO MODELO
43393766,2701057,GERADO PELA UNIDADE
43393681,5869757,GERADO PELA UNIDADE
43345962,10427392,GERADO PELO MODELO
43345937,8637512,GERADO PELO MODELO
43393437,8620229,GERADO PELA UNIDADE
43415715,2123789,GERADO PELO MODELO
43415714,2123061,GERADO PELO MODELO
43345920,8319472,GERADO PELO MODELO
43393541,2122944,GERADO PELA UNIDADE
43393552,8594724,GERADO PELA UNIDADE
43393474,2124149,GERADO PELA UNIDADE
43393451,8319545,GERADO PELA UNIDADE
43415770,4458400,GERADO PELO MODELO
43415834,5894760,GERADO PELO MODELO
43415833,5893909,GERADO PELO MODELO
43415832,5893895,GERADO PELO MODELO
43415831,5893887,GERADO PELO MODELO
43415830,5893801,GERADO PELO MODELO
43415829,5893704,GERADO PELO MODELO
43415819,5736846,GERADO PELO MODELO
43415818,5736811,GERADO PELO MODELO
43415817,5736455,GERADO PELO MODELO
43415816,5736277,GERADO PELO MODELO
43415815,5735661,GERADO PELO MODELO
43415814,5733790,GERADO PELO MODELO
43415813,5733715,GERADO PELO MODELO
43415771,4458869,GERADO PELO MODELO
43393463,9818502,GERADO PELA UNIDADE
43393531,4468724,GERADO PELA UNIDADE
43415898,6378650,GERADO PELO MODELO
43415751,3776956,GERADO PELO MODELO
43393755,4072138,GERADO PELA UNIDADE
43393733,3776972,GERADO PELA UNIDADE
43393680,4474953,GERADO PELA UNIDADE
43393597,4475070,GERADO PELA UNIDADE
43393431,4475127,GERADO PELA UNIDADE
43415762,4144872,GERADO PELO MODELO
43415755,3860884,GERADO PELO MODELO
43393735,7923015,GERADO PELA UNIDADE
43393694,4144880,GERADO PELA UNIDADE
43393605,9086455,GERADO PELA UNIDADE
43393458,5940516,GERADO PELA UNIDADE
43415838,5915473,GERADO PELO MODELO
43345977,14085615,GERADO PELO MODELO
43415910,6561918,GERADO PELO MODELO
43345998,14394510,GERADO PELO MODELO
43345986,14360462,GERADO PELO MODELO
43415909,6561470,GERADO PELO MODELO
43415907,6561365,GERADO PELO MODELO
43393740,6561500,GERADO PELA UNIDADE
43393642,6563767,GERADO PELA UNIDADE
43393683,7822723,GERADO PELA UNIDADE
