10050078.0,1,3.0,51,3.0,45.0,C                              
9497064.0,5,4.0,27,3.0,117.0,C                              
2888238.0,5,3.0,0,6.0,48.0,C                              
61093.0,185,1.0,70,3.0,45.0,C                              
10212965.0,2,3.0,0,6.0,48.0,C                              
9052607.0,4,4.0,40,2.0,48.0,C                              
3522709.0,19,1.0,120,3.0,48.0,C                              
19364830.0,1,2.0,50,3.0,138.0,C                              
22918.0,441,1.0,200,3.0,45.0,C                              
4581164.0,4,3.0,70,2.0,51.0,C                              
8724571.0,4,3.0,52,2.0,117.0,C                              
36514284.0,3,4.0,40,2.0,123.0,C                              
5611792.0,3,4.0,50,2.0,51.0,C                              
3388956.0,4,2.0,32,3.0,48.0,C                              
14826720.0,5,3.0,55,3.0,48.0,C                              
3914933.0,6,4.0,47,2.0,48.0,C                              
13101528.0,5,1.0,30,3.0,51.0,C                              
1558196.0,3,4.0,40,2.0,117.0,C                              
515647.0,7,3.0,0,6.0,117.0,C                              
12631639.0,4,4.0,32,3.0,48.0,C                              
61095451.0,4,3.0,60,3.0,51.0,C                              
6988695.0,4,4.0,50,2.0,51.0,C                              
327891.0,6,3.0,70,2.0,45.0,C                              
2218674.0,14,2.0,180,3.0,48.0,C                              
22156666.0,4,3.0,0,6.0,133.0,C                              
3585964.0,3,4.0,50,2.0,51.0,C                              
6911374.0,3,4.0,0,6.0,45.0,C                              
6364721.0,3,4.0,50,2.0,51.0,C                              
3309720.0,7,3.0,66,2.0,48.0,C                              
10707727.0,4,3.0,0,6.0,48.0,C                              
7642709.0,5,3.0,0,6.0,48.0,C                              
2018004.0,5,3.0,60,2.0,48.0,C                              
65004809.0,6,3.0,66,2.0,158.0,C                              
122238.0,4,3.0,51,3.0,45.0,C                              
17095956.0,4,3.0,0,6.0,473.0,C                              
14388375.0,3,3.0,70,2.0,51.0,C                              
2410710.0,4,4.0,38,2.0,45.0,C                              
10749411.0,5,3.0,60,3.0,51.0,C                              
11547430.0,4,4.0,36,2.0,48.0,C                              
1701819.0,10,2.0,132,3.0,117.0,C                              
2758717.0,4,3.0,70,2.0,48.0,C                              
4953312.0,11,2.0,84,3.0,45.0,C                              
4606167.0,8,2.0,90,3.0,48.0,C                              
476722.0,10,1.0,70,3.0,117.0,C                              
10468870.0,3,2.0,35,3.0,48.0,C                              
3824829.0,4,3.0,0,6.0,48.0,C                              
1564455.0,7,3.0,72,3.0,117.0,C                              
96989.0,18,2.0,150,3.0,45.0,C                              
6975755.0,8,3.0,70,2.0,51.0,C                              
7911700.0,5,3.0,60,2.0,51.0,C                              
14391481.0,5,4.0,27,2.0,51.0,C                              
4982487.0,10,3.0,100,3.0,45.0,C                              
90270517.0,3,4.0,35,2.0,473.0,C                              
2367700.0,18,2.0,108,3.0,45.0,C                              
5782392.0,18,2.0,150,3.0,45.0,C                              
459747.0,9,2.0,0,6.0,117.0,C                              
7322461.0,4,4.0,44,2.0,117.0,C                              
4967577.0,3,2.0,20,3.0,45.0,C                              
14393034.0,11,1.0,80,3.0,51.0,C                              
410110.0,15,2.0,60,3.0,45.0,C                              
35952156.0,3,3.0,60,2.0,133.0,C                              
1611232.0,3,3.0,0,6.0,45.0,C                              
3795810.0,9,2.0,60,3.0,48.0,C                              
11276630.0,15,3.0,90,3.0,51.0,C                              
9324100.0,5,4.0,50,2.0,51.0,C                              
10497366.0,3,4.0,38,2.0,117.0,C                              
9923357.0,5,4.0,48,3.0,51.0,C                              
7553641.0,3,4.0,50,2.0,48.0,C                              
284661.0,3,5.0,0,27.0,48.0,C                              
7383665.0,5,4.0,40,2.0,117.0,C                              
8176663.0,8,2.0,80,3.0,51.0,C                              
3788369.0,4,4.0,40,2.0,48.0,C                              
5120853.0,2,4.0,25,2.0,48.0,C                              
10770739.0,5,3.0,64,2.0,48.0,C                              
9022856.0,1,3.0,51,2.0,51.0,C                              
10548360.0,6,3.0,65,2.0,45.0,C                              
7550898.0,1,3.0,60,2.0,48.0,C                              
3961400.0,5,4.0,36,2.0,117.0,C                              
5699797.0,3,4.0,45,2.0,51.0,C                              
10013369.0,16,2.0,0,6.0,117.0,C                              
96527986.0,8,2.0,72,3.0,123.0,C                              
12442747.0,2,4.0,30,3.0,51.0,C                              
8605610.0,1,4.0,50,2.0,51.0,C                              
1979264.0,6,3.0,70,3.0,48.0,C                              
10598634.0,162,1.0,45,3.0,45.0,C                              
5957567.0,7,3.0,60,2.0,51.0,C                              
581810.0,17,2.0,180,3.0,117.0,C                              
10760652.0,3,3.0,80,2.0,117.0,C                              
7329350.0,4,3.0,60,2.0,51.0,C                              
7422113.0,2,4.0,44,2.0,117.0,C                              
75772248.0,7,4.0,44,3.0,123.0,C                              
6444792.0,10,4.0,47,3.0,117.0,C                              
5226368.0,5,3.0,102,2.0,45.0,C                              
5257816.0,6,3.0,0,6.0,51.0,C                              
10075062.0,4,3.0,60,3.0,48.0,C                              
5787394.0,6,4.0,38,3.0,45.0,C                              
10462660.0,8,2.0,80,3.0,117.0,C                              
7476949.0,5,4.0,48,2.0,117.0,C                              
523348.0,10,3.0,0,6.0,117.0,C                              
10863850.0,5,4.0,50,3.0,51.0,C                              
1653555.0,4,3.0,80,3.0,117.0,C                              
2443155.0,6,2.0,86,3.0,48.0,C                              
4606841.0,5,3.0,60,3.0,48.0,C                              
4242483.0,5,4.0,44,3.0,117.0,C                              
7786735.0,3,3.0,51,3.0,117.0,C                              
6992676.0,5,4.0,50,2.0,51.0,C                              
2539934.0,3,3.0,0,6.0,51.0,C                              
2281821.0,3,4.0,40,2.0,48.0,C                              
5978670.0,1,4.0,42,2.0,51.0,C                              
3100154.0,1,3.0,0,6.0,45.0,C                              
14556146.0,4,3.0,76,3.0,48.0,C                              
14236575.0,6,4.0,50,2.0,117.0,C                              
10769749.0,5,3.0,70,3.0,48.0,C                              
2359600.0,4,4.0,0,6.0,45.0,C                              
521493.0,8,3.0,0,6.0,117.0,C                              
568694.0,13,2.0,70,3.0,117.0,C                              
6235000.0,2,4.0,30,3.0,117.0,C                              
13982400.0,3,4.0,45,2.0,45.0,C                              
82101663.0,3,3.0,55,2.0,148.0,C                              
3443973.0,10,1.0,60,3.0,48.0,C                              
4066308.0,5,4.0,35,3.0,45.0,C                              
6542603.0,5,3.0,0,6.0,117.0,C                              
9500570.0,3,2.0,20,3.0,117.0,C                              
6968155.0,4,3.0,70,2.0,51.0,C                              
3056538.0,6,2.0,62,3.0,48.0,C                              
2895439.0,4,4.0,48,2.0,117.0,C                              
